Frequency	Pixel(95-95)
2720000000.000000	1.478020
2720500000.000000	1.478476
2721000000.000000	1.478565
2721500000.000000	1.478102
2722000000.000000	1.478675
2722500000.000000	1.478566
2723000000.000000	1.479044
2723500000.000000	1.478965
2724000000.000000	1.479020
2724500000.000000	1.477609
2725000000.000000	1.477059
2725500000.000000	1.477078
2726000000.000000	1.478751
2726500000.000000	1.477668
2727000000.000000	1.477964
2727500000.000000	1.477738
2728000000.000000	1.475426
2728500000.000000	1.478354
2729000000.000000	1.478689
2729500000.000000	1.478423
2730000000.000000	1.478000
2730500000.000000	1.479323
2731000000.000000	1.477848
2731500000.000000	1.478275
2732000000.000000	1.478527
2732500000.000000	1.479082
2733000000.000000	1.477927
2733500000.000000	1.476967
2734000000.000000	1.476746
2734500000.000000	1.478208
2735000000.000000	1.477978
2735500000.000000	1.477004
2736000000.000000	1.475839
2736500000.000000	1.475944
2737000000.000000	1.476098
2737500000.000000	1.477940
2738000000.000000	1.478562
2738500000.000000	1.477901
2739000000.000000	1.478285
2739500000.000000	1.479066
2740000000.000000	1.477843
2740500000.000000	1.478155
2741000000.000000	1.477658
2741500000.000000	1.477074
2742000000.000000	1.478232
2742500000.000000	1.479130
2743000000.000000	1.477401
2743500000.000000	1.477739
2744000000.000000	1.478310
2744500000.000000	1.477868
2745000000.000000	1.477284
2745500000.000000	1.479209
2746000000.000000	1.479280
2746500000.000000	1.478875
2747000000.000000	1.478784
2747500000.000000	1.479020
2748000000.000000	1.477739
2748500000.000000	1.477970
2749000000.000000	1.477152
2749500000.000000	1.478358
2750000000.000000	1.478896
2750500000.000000	1.478214
2751000000.000000	1.477423
2751500000.000000	1.479504
2752000000.000000	1.479935
2752500000.000000	1.479067
2753000000.000000	1.478458
2753500000.000000	1.478761
2754000000.000000	1.477668
2754500000.000000	1.477242
2755000000.000000	1.477528
2755500000.000000	1.476928
2756000000.000000	1.478950
2756500000.000000	1.478688
2757000000.000000	1.477818
2757500000.000000	1.477730
2758000000.000000	1.477128
2758500000.000000	1.476966
2759000000.000000	1.476989
2759500000.000000	1.479108
2760000000.000000	1.479689
2760500000.000000	1.478653
2761000000.000000	1.477185
2761500000.000000	1.476186
2762000000.000000	1.479272
2762500000.000000	1.478599
2763000000.000000	1.480005
2763500000.000000	1.479055
2764000000.000000	1.478851
2764500000.000000	1.478968
2765000000.000000	1.478684
2765500000.000000	1.478144
2766000000.000000	1.479257
2766500000.000000	1.478834
2767000000.000000	1.476904
2767500000.000000	1.478847
2768000000.000000	1.478843
2768500000.000000	1.479300
2769000000.000000	1.478734
2769500000.000000	1.478955
2770000000.000000	1.478768
2770500000.000000	1.478428
2771000000.000000	1.479555
2771500000.000000	1.479385
2772000000.000000	1.478320
2772500000.000000	1.478577
2773000000.000000	1.478145
2773500000.000000	1.477935
2774000000.000000	1.475822
2774500000.000000	1.477141
2775000000.000000	1.476835
2775500000.000000	1.477340
2776000000.000000	1.477193
2776500000.000000	1.477052
2777000000.000000	1.476847
2777500000.000000	1.477141
2778000000.000000	1.477361
2778500000.000000	1.477917
2779000000.000000	1.477422
2779500000.000000	1.478070
2780000000.000000	1.477923
2780500000.000000	1.478074
2781000000.000000	1.478619
2781500000.000000	1.477935
2782000000.000000	1.476980
2782500000.000000	1.477902
2783000000.000000	1.478354
2783500000.000000	1.477873
2784000000.000000	1.478520
2784500000.000000	1.478698
2785000000.000000	1.478807
2785500000.000000	1.478698
2786000000.000000	1.478861
2786500000.000000	1.476687
2787000000.000000	1.477295
2787500000.000000	1.479392
2788000000.000000	1.480110
2788500000.000000	1.479345
2789000000.000000	1.478450
2789500000.000000	1.478845
2790000000.000000	1.478545
2790500000.000000	1.478397
2791000000.000000	1.477407
2791500000.000000	1.477806
2792000000.000000	1.478005
2792500000.000000	1.479200
2793000000.000000	1.479272
2793500000.000000	1.479429
2794000000.000000	1.478789
