Displacement,Files Averaged,Data Points,Columns,Mean Value,Std Dev,Min Value,Max Value
6.8cm-0.0mm,9,660,1,1.487230,0.006481,1.470390,1.499552
6.8cm-0.1mm,7,660,1,1.477827,0.003133,1.461721,1.482301
6.8cm-0.2mm,7,660,1,1.484747,0.003130,1.468884,1.487785
6.8cm-0.3mm,10,660,1,1.483613,0.003199,1.467723,1.486536
6.8cm-0.4mm,6,660,1,1.482201,0.003036,1.466994,1.485303
6.8cm-0.5mm,7,660,1,1.481136,0.002948,1.465046,1.484297
