,x0_MHz,x1_MHz,x2_MHz,gamma_MHz,A
Pair1_left,2843.078944021573,2843.0776204432605,2843.0775157646735,24.006701505047303,0.15330487207917706
Pair1_right,2846.040787883312,2835.5816069476427,2899.771273554445,7.951700129125842,0.5684127695814782
Pair2_left,2845.4985569231467,2819.939390252274,2808.8901686625686,9.925290340042162,0.5979661657902967
Pair2_right,2902.1674735292763,2902.168280509474,2902.1682062375685,22.45269135622779,0.12917397421834395
Pair3_left,2820.0974034413025,2820.0962746481846,2845.4937602506147,12.046089974203449,0.36231158116991286
Pair3_right,2923.2374959601234,2899.956392237706,2945.2771003031153,9.203657181532169,0.48478268125397844
Pair4_left,2819.9372901727174,2819.937287146972,2845.4933549163266,13.146813040469098,0.3465949530910561
Pair4_right,2900.850504454036,2926.789831952584,2900.850504462743,19.25174124434331,0.2149578470183006
