phase,start_frame,end_frame,start_time_s,end_time_s,duration_s,artificial_amplitude_V,artificial_amplitude_mV
NEG,143,155,0.055255200000000004,0.059892,0.0046367999999999965,-0.01,-10.0
POS,156,168,0.0602784,0.0649152,0.004636800000000003,0.01,10.0
