record_type,phase,component,pixel,row,col,x_um,y_um,value_nT,unit
B,pos-off,By,589,0,11,-26.666666666666657,-100.0,6408.793987571055,nT
B,pos-off,Bz,589,0,11,-26.666666666666657,-100.0,6204.520136145358,nT
B,neg-off,Bx,589,0,11,-26.666666666666657,-100.0,-3946.3167727945943,nT
B,neg-off,By,589,0,11,-26.666666666666657,-100.0,-16650.146321744123,nT
B,neg-off,Bz,589,0,11,-26.666666666666657,-100.0,-12190.997395483613,nT
B,pos-off,Bx,588,0,12,-20.0,-100.0,2108.0592724745884,nT
B,pos-off,By,588,0,12,-20.0,-100.0,7090.248389970412,nT
B,pos-off,Bz,588,0,12,-20.0,-100.0,6589.109854670225,nT
B,neg-off,Bx,588,0,12,-20.0,-100.0,-3600.6928082240406,nT
B,neg-off,By,588,0,12,-20.0,-100.0,-16282.145492605567,nT
B,neg-off,Bz,588,0,12,-20.0,-100.0,-11602.1514841038,nT
B,pos-off,Bx,527,0,13,-13.333333333333329,-100.0,2591.947131124464,nT
B,pos-off,By,527,0,13,-13.333333333333329,-100.0,10288.574600507225,nT
B,pos-off,Bz,527,0,13,-13.333333333333329,-100.0,6511.230967347095,nT
B,neg-off,Bx,527,0,13,-13.333333333333329,-100.0,-4623.147121090799,nT
B,neg-off,By,527,0,13,-13.333333333333329,-100.0,-26270.06830019378,nT
B,neg-off,Bz,527,0,13,-13.333333333333329,-100.0,-14334.468907152286,nT
B,pos-off,Bx,526,0,14,-6.666666666666657,-100.0,2383.4587793936835,nT
B,pos-off,By,526,0,14,-6.666666666666657,-100.0,10618.42986315696,nT
B,pos-off,Bz,526,0,14,-6.666666666666657,-100.0,6498.228478195307,nT
B,neg-off,Bx,526,0,14,-6.666666666666657,-100.0,-4059.358304706811,nT
B,neg-off,By,526,0,14,-6.666666666666657,-100.0,-23008.24106834995,nT
B,neg-off,Bz,526,0,14,-6.666666666666657,-100.0,-11839.29903815092,nT
B,pos-off,Bx,465,0,15,0.0,-100.0,1946.1004606115653,nT
B,pos-off,By,465,0,15,0.0,-100.0,11869.872343164856,nT
B,pos-off,Bz,465,0,15,0.0,-100.0,5416.317025085504,nT
B,neg-off,Bx,465,0,15,0.0,-100.0,-3536.7320940434456,nT
B,neg-off,By,465,0,15,0.0,-100.0,-25375.47082414916,nT
B,neg-off,Bz,465,0,15,0.0,-100.0,-10504.479720474004,nT
B,pos-off,Bx,464,0,16,6.666666666666671,-100.0,1923.3232588132123,nT
B,pos-off,By,464,0,16,6.666666666666671,-100.0,11498.762249319123,nT
B,pos-off,Bz,464,0,16,6.666666666666671,-100.0,4869.301457283488,nT
B,neg-off,Bx,464,0,16,6.666666666666671,-100.0,-3448.186653065368,nT
B,neg-off,By,464,0,16,6.666666666666671,-100.0,-23167.552045381708,nT
B,neg-off,Bz,464,0,16,6.666666666666671,-100.0,-8684.08443244199,nT
B,pos-off,Bx,403,0,17,13.333333333333343,-100.0,1042.112287158278,nT
B,pos-off,By,403,0,17,13.333333333333343,-100.0,8499.886850334631,nT
B,pos-off,Bz,403,0,17,13.333333333333343,-100.0,2102.2476649535,nT
B,neg-off,Bx,403,0,17,13.333333333333343,-100.0,-2194.3083248851976,nT
B,neg-off,By,403,0,17,13.333333333333343,-100.0,-14687.109147749581,nT
B,neg-off,Bz,403,0,17,13.333333333333343,-100.0,-2415.569933687934,nT
B,pos-off,Bx,402,0,18,20.0,-100.0,889.0951723012805,nT
B,pos-off,By,402,0,18,20.0,-100.0,6700.765932095667,nT
B,pos-off,Bz,402,0,18,20.0,-100.0,1306.5301207041311,nT
B,neg-off,Bx,402,0,18,20.0,-100.0,-2226.605917671471,nT
B,neg-off,By,402,0,18,20.0,-100.0,-12394.957983953253,nT
B,neg-off,Bz,402,0,18,20.0,-100.0,-2139.8323293270664,nT
B,pos-off,Bx,341,0,19,26.66666666666667,-100.0,427.94878725910684,nT
B,pos-off,By,341,0,19,26.66666666666667,-100.0,4280.20369008143,nT
B,pos-off,Bz,341,0,19,26.66666666666667,-100.0,-756.2203255556248,nT
B,neg-off,Bx,341,0,19,26.66666666666667,-100.0,-1606.9903455394367,nT
B,neg-off,By,341,0,19,26.66666666666667,-100.0,-7278.199502146908,nT
B,neg-off,Bz,341,0,19,26.66666666666667,-100.0,1470.3719048116093,nT
B,pos-off,Bx,340,0,20,33.33333333333334,-100.0,583.007622114277,nT
B,pos-off,By,340,0,20,33.33333333333334,-100.0,3299.705010180611,nT
B,pos-off,Bz,340,0,20,33.33333333333334,-100.0,-894.7407535920097,nT
B,neg-off,Bx,340,0,20,33.33333333333334,-100.0,-1593.6345837222862,nT
B,neg-off,By,340,0,20,33.33333333333334,-100.0,-5752.1645551066695,nT
B,neg-off,Bz,340,0,20,33.33333333333334,-100.0,1375.8594930486593,nT
B,pos-off,Bx,279,0,21,40.0,-100.0,376.163900982569,nT
B,pos-off,By,279,0,21,40.0,-100.0,2053.0013132894455,nT
B,pos-off,Bz,279,0,21,40.0,-100.0,-1158.8083365832076,nT
B,neg-off,Bx,279,0,21,40.0,-100.0,-965.657985920503,nT
B,neg-off,By,279,0,21,40.0,-100.0,-3959.162257761671,nT
B,neg-off,Bz,279,0,21,40.0,-100.0,1942.5929626567906,nT
B,pos-off,Bx,278,0,22,46.666666666666686,-100.0,552.788524484755,nT
B,pos-off,By,278,0,22,46.666666666666686,-100.0,1664.655918575367,nT
B,pos-off,Bz,278,0,22,46.666666666666686,-100.0,-1269.843654511668,nT
B,neg-off,Bx,278,0,22,46.666666666666686,-100.0,-1115.6067468206045,nT
B,neg-off,By,278,0,22,46.666666666666686,-100.0,-3187.911185865076,nT
B,neg-off,Bz,278,0,22,46.666666666666686,-100.0,1876.6677983799484,nT
B,pos-off,Bx,217,0,23,53.33333333333334,-100.0,210.93016011907187,nT
B,pos-off,By,217,0,23,53.33333333333334,-100.0,1156.0839537722604,nT
B,pos-off,Bz,217,0,23,53.33333333333334,-100.0,-991.338979544365,nT
B,neg-off,Bx,217,0,23,53.33333333333334,-100.0,-785.7056604965986,nT
B,neg-off,By,217,0,23,53.33333333333334,-100.0,-2117.271110979281,nT
B,neg-off,Bz,217,0,23,53.33333333333334,-100.0,1410.307108928591,nT
B,pos-off,Bx,216,0,24,60.0,-100.0,329.7655228048885,nT
B,pos-off,By,216,0,24,60.0,-100.0,860.4889244278975,nT
B,pos-off,Bz,216,0,24,60.0,-100.0,-993.1790804995715,nT
B,neg-off,Bx,216,0,24,60.0,-100.0,-599.6664103506926,nT
B,neg-off,By,216,0,24,60.0,-100.0,-1534.1239735374033,nT
B,neg-off,Bz,216,0,24,60.0,-100.0,1137.0073949318485,nT
B,pos-off,Bx,155,0,25,66.66666666666669,-100.0,70.57465679535467,nT
B,pos-off,By,155,0,25,66.66666666666669,-100.0,647.8026426873857,nT
B,pos-off,Bz,155,0,25,66.66666666666669,-100.0,-936.4150022569759,nT
B,neg-off,Bx,155,0,25,66.66666666666669,-100.0,-501.41885143832803,nT
B,neg-off,By,155,0,25,66.66666666666669,-100.0,-1313.2951585751334,nT
B,neg-off,Bz,155,0,25,66.66666666666669,-100.0,1411.742689004397,nT
B,pos-off,Bx,154,0,26,73.33333333333334,-100.0,126.85429421586718,nT
B,pos-off,By,154,0,26,73.33333333333334,-100.0,629.8152284820353,nT
B,pos-off,Bz,154,0,26,73.33333333333334,-100.0,-1325.493875721555,nT
B,neg-off,Bx,154,0,26,73.33333333333334,-100.0,-475.79939201308673,nT
B,neg-off,By,154,0,26,73.33333333333334,-100.0,-1386.4784172469365,nT
B,neg-off,Bz,154,0,26,73.33333333333334,-100.0,1615.770879393674,nT
B,pos-off,Bx,93,0,27,80.0,-100.0,26.83072209074547,nT
B,pos-off,By,93,0,27,80.0,-100.0,296.12845614190616,nT
B,pos-off,Bz,93,0,27,80.0,-100.0,-1288.2014664889432,nT
B,neg-off,Bx,93,0,27,80.0,-100.0,-194.4236219073623,nT
B,neg-off,By,93,0,27,80.0,-100.0,-987.7327991669663,nT
B,neg-off,Bz,93,0,27,80.0,-100.0,1696.5525346850613,nT
B,pos-off,Bx,92,0,28,86.66666666666669,-100.0,-10.162837853438162,nT
B,pos-off,By,92,0,28,86.66666666666669,-100.0,247.40645224485138,nT
B,pos-off,Bz,92,0,28,86.66666666666669,-100.0,-1652.6388385702337,nT
B,neg-off,Bx,92,0,28,86.66666666666669,-100.0,-101.72507766120948,nT
B,neg-off,By,92,0,28,86.66666666666669,-100.0,-1079.1885053567485,nT
B,neg-off,Bz,92,0,28,86.66666666666669,-100.0,1896.5451678135944,nT
B,pos-off,Bx,31,0,29,93.33333333333334,-100.0,-138.72157942126776,nT
B,pos-off,By,31,0,29,93.33333333333334,-100.0,18.93817245581114,nT
B,pos-off,Bz,31,0,29,93.33333333333334,-100.0,-1461.6881712548072,nT
B,neg-off,Bx,31,0,29,93.33333333333334,-100.0,69.11988460149345,nT
B,neg-off,By,31,0,29,93.33333333333334,-100.0,-691.0561482091953,nT
B,neg-off,Bz,31,0,29,93.33333333333334,-100.0,1805.1690532935397,nT
B,pos-off,Bx,30,0,30,100.0,-100.0,5.017114286575321,nT
