Frequency	Pixel(95-95)
2720000000.000000	1.491359
2720500000.000000	1.490944
2721000000.000000	1.489713
2721500000.000000	1.490458
2722000000.000000	1.490497
2722500000.000000	1.491169
2723000000.000000	1.490703
2723500000.000000	1.489497
2724000000.000000	1.490919
2724500000.000000	1.490526
2725000000.000000	1.489609
2725500000.000000	1.489210
2726000000.000000	1.489218
2726500000.000000	1.488592
2727000000.000000	1.487926
2727500000.000000	1.486983
2728000000.000000	1.486861
2728500000.000000	1.485324
2729000000.000000	1.485870
2729500000.000000	1.485393
2730000000.000000	1.485534
2730500000.000000	1.484357
2731000000.000000	1.483144
2731500000.000000	1.482444
2732000000.000000	1.481775
2732500000.000000	1.481734
2733000000.000000	1.481280
2733500000.000000	1.480791
2734000000.000000	1.481073
2734500000.000000	1.480447
2735000000.000000	1.479257
2735500000.000000	1.478593
2736000000.000000	1.478566
2736500000.000000	1.477078
2737000000.000000	1.477482
2737500000.000000	1.476528
2738000000.000000	1.476056
2738500000.000000	1.474474
2739000000.000000	1.473385
2739500000.000000	1.473035
2740000000.000000	1.473146
2740500000.000000	1.473201
2741000000.000000	1.472946
2741500000.000000	1.471711
2742000000.000000	1.472376
2742500000.000000	1.472079
2743000000.000000	1.472204
2743500000.000000	1.471182
2744000000.000000	1.471254
2744500000.000000	1.470821
2745000000.000000	1.470821
2745500000.000000	1.470009
2746000000.000000	1.469344
2746500000.000000	1.470137
2747000000.000000	1.469346
2747500000.000000	1.468745
2748000000.000000	1.468145
2748500000.000000	1.467330
2749000000.000000	1.467456
2749500000.000000	1.467340
2750000000.000000	1.468183
2750500000.000000	1.467140
2751000000.000000	1.467627
2751500000.000000	1.466811
2752000000.000000	1.466657
2752500000.000000	1.466768
2753000000.000000	1.466584
2753500000.000000	1.466336
2754000000.000000	1.466424
2754500000.000000	1.465796
2755000000.000000	1.466556
2755500000.000000	1.466208
2756000000.000000	1.466247
2756500000.000000	1.466207
2757000000.000000	1.467022
2757500000.000000	1.466522
2758000000.000000	1.465902
2758500000.000000	1.466243
2759000000.000000	1.465135
2759500000.000000	1.465587
2760000000.000000	1.466344
2760500000.000000	1.467352
2761000000.000000	1.466210
2761500000.000000	1.466764
2762000000.000000	1.467018
2762500000.000000	1.466708
2763000000.000000	1.466285
2763500000.000000	1.466441
2764000000.000000	1.467697
2764500000.000000	1.467629
2765000000.000000	1.467552
2765500000.000000	1.467232
2766000000.000000	1.467816
2766500000.000000	1.468239
2767000000.000000	1.468982
2767500000.000000	1.468914
2768000000.000000	1.469573
2768500000.000000	1.470073
2769000000.000000	1.469571
2769500000.000000	1.469708
2770000000.000000	1.470457
2770500000.000000	1.471528
2771000000.000000	1.471076
2771500000.000000	1.471062
2772000000.000000	1.472026
2772500000.000000	1.472294
2773000000.000000	1.471895
2773500000.000000	1.473589
2774000000.000000	1.473099
2774500000.000000	1.473059
2775000000.000000	1.473575
2775500000.000000	1.474030
2776000000.000000	1.474424
2776500000.000000	1.474244
2777000000.000000	1.475907
2777500000.000000	1.476202
2778000000.000000	1.476697
2778500000.000000	1.476963
2779000000.000000	1.477174
2779500000.000000	1.477536
2780000000.000000	1.478075
2780500000.000000	1.479363
2781000000.000000	1.479123
2781500000.000000	1.479524
2782000000.000000	1.479289
2782500000.000000	1.480069
2783000000.000000	1.480062
2783500000.000000	1.481991
2784000000.000000	1.480935
2784500000.000000	1.481968
2785000000.000000	1.481867
2785500000.000000	1.482458
2786000000.000000	1.482547
2786500000.000000	1.482752
2787000000.000000	1.483688
2787500000.000000	1.482715
2788000000.000000	1.484492
2788500000.000000	1.484085
2789000000.000000	1.484055
2789500000.000000	1.485425
2790000000.000000	1.486198
2790500000.000000	1.486360
2791000000.000000	1.486113
2791500000.000000	1.486937
2792000000.000000	1.487370
2792500000.000000	1.486758
2793000000.000000	1.487024
2793500000.000000	1.487911
2794000000.000000	1.488357
2794500000.000000	1.487332
2795000000.000000	1.488911
2795500000.000000	1.490121
2796000000.000000	1.489891
2796500000.000000	1.489813
2797000000.000000	1.490670
2797500000.000000	1.490386
2798000000.000000	1.490094
2798500000.000000	1.490555
2799000000.000000	1.490627
2799500000.000000	1.491121
2800000000.000000	1.491041
2800500000.000000	1.490714
2801000000.000000	1.491292
2801500000.000000	1.492868
2802000000.000000	1.492279
2802500000.000000	1.492965
2803000000.000000	1.492410
2803500000.000000	1.492461
2804000000.000000	1.492903
2804500000.000000	1.493147
2805000000.000000	1.493691
2805500000.000000	1.493370
2806000000.000000	1.493210
2806500000.000000	1.493949
2807000000.000000	1.493759
2807500000.000000	1.492848
2808000000.000000	1.489497
2808500000.000000	1.487586
2809000000.000000	1.490917
2809500000.000000	1.491930
2810000000.000000	1.491097
2810500000.000000	1.489208
2811000000.000000	1.491360
2811500000.000000	1.492390
2812000000.000000	1.492690
2812500000.000000	1.490687
2813000000.000000	1.491031
2813500000.000000	1.492405
2814000000.000000	1.494843
2814500000.000000	1.496194
2815000000.000000	1.495953
2815500000.000000	1.495469
2816000000.000000	1.496943
2816500000.000000	1.496441
2817000000.000000	1.496470
2817500000.000000	1.493830
2818000000.000000	1.490558
2818500000.000000	1.482983
2819000000.000000	1.484616
2819500000.000000	1.489747
2820000000.000000	1.489328
2820500000.000000	1.483787
2821000000.000000	1.481606
2821500000.000000	1.486728
2822000000.000000	1.489402
2822500000.000000	1.485488
2823000000.000000	1.480857
2823500000.000000	1.487274
2824000000.000000	1.491052
2824500000.000000	1.493009
2825000000.000000	1.494146
2825500000.000000	1.495627
2826000000.000000	1.496272
2826500000.000000	1.496788
2827000000.000000	1.496669
2827500000.000000	1.496681
2828000000.000000	1.496707
2828500000.000000	1.497341
2829000000.000000	1.497980
2829500000.000000	1.497784
2830000000.000000	1.497813
2830500000.000000	1.497521
2831000000.000000	1.496641
2831500000.000000	1.495486
2832000000.000000	1.491632
2832500000.000000	1.492103
2833000000.000000	1.493460
2833500000.000000	1.493519
2834000000.000000	1.491828
