Frequency_Hz	Intensity_Averaged	Intensity_StdDev
2720000000.0	1.4790214285714287	0.0006485455941991596
2720500000.0	1.4792088571428572	0.0007027018121043143
2721000000.0	1.478152142857143	0.0007358981739676758
2721500000.0	1.4791405714285715	0.0008054153954225697
2722000000.0	1.4791528571428572	0.00038360784610305915
2722500000.0	1.4794262857142857	0.00033624468738691787
2723000000.0	1.4797175714285715	0.0002849360114345508
2723500000.0	1.479033857142857	0.0005072766020825502
2724000000.0	1.4794578571428574	0.00017558345884622077
2724500000.0	1.47897	0.00033361440530734425
2725000000.0	1.4789542857142857	0.00021912143683727473
2725500000.0	1.4792011428571425	0.0002845560093355387
2726000000.0	1.479511142857143	9.524768999291653e-05
2726500000.0	1.4783644285714286	0.0005063005479929133
2727000000.0	1.4785307142857143	9.998530504272247e-05
2727500000.0	1.4785044285714286	0.00022527117445605364
2728000000.0	1.4788232857142856	0.00020167846707478675
2728500000.0	1.4781344285714284	0.0002609585939475766
2729000000.0	1.4781575714285715	0.0005069409255928035
2729500000.0	1.4791461428571429	0.0003274230241365129
2730000000.0	1.4786462857142857	0.00035322098072518456
2730500000.0	1.4779318571428575	0.0004675505865897616
2731000000.0	1.478481285714286	0.0001813896471181219
2731500000.0	1.4791945714285715	0.0002794550089742781
2732000000.0	1.479297	0.0001915925736705412
2732500000.0	1.478075	0.0009113128677118141
2733000000.0	1.4797460000000002	0.00030679541810698497
2733500000.0	1.4784611428571428	0.0008298442932384308
2734000000.0	1.4784522857142854	0.0004367293095223913
2734500000.0	1.4789552857142856	0.0004825979439556435
2735000000.0	1.478907857142857	0.0007033819179143874
2735500000.0	1.4795581428571427	0.000716309675364267
2736000000.0	1.480048	0.0002938925945695739
2736500000.0	1.479457857142857	0.0002390065322307956
2737000000.0	1.4790514285714287	0.000567130838303722
2737500000.0	1.4793842857142856	0.0003895545860470017
2738000000.0	1.4804302857142857	0.000879884199245347
2738500000.0	1.4785061428571427	0.000368833848993389
2739000000.0	1.4781234285714284	0.00026510044303614373
2739500000.0	1.478327714285714	0.0003338972101392344
2740000000.0	1.478524714285714	0.0002508771550755285
2740500000.0	1.4790618571428573	0.0003658100321093324
2741000000.0	1.4788665714285714	0.0003262969099905406
