pair_id,left_dip_id_sorted,right_dip_id_sorted,left_center_x1_GHz,right_center_x1_GHz,left_center_x1_err_MHz,right_center_x1_err_MHz,pair_center_GHz,pair_center_minus_D_eff_MHz,splitting_GHz,splitting_MHz,zeeman_half_MHz,left_contrast,right_contrast,D_eff_GHz
1,1,8,2.807769792246001,2.933507887648723,0.08045981727745904,0.09863143687924332,2.870638839947362,-0.9369951393600751,0.12573809540272185,125.73809540272185,62.86904770136093,0.011628865470385809,0.009366308143654429,2.871575835086722
2,2,7,2.818927689148876,2.923712783518038,0.03322188455798263,0.043665067929984015,2.871320236333457,-0.2555987532648629,0.10478509436916195,104.78509436916195,52.39254718458098,0.028278019937542472,0.021648895398252196,2.871575835086722
3,3,6,2.835219820107587,2.9087466246514406,0.06948431377392092,0.07243468090144908,2.871983222379514,0.40738729279210517,0.07352680454385352,73.52680454385352,36.76340227192676,0.013447598901045889,0.012971428231304335,2.871575835086722
4,4,5,2.8460937795570054,2.8986283038161043,0.03725728240150579,0.04040948416333245,2.872361041686555,0.7852065998328328,0.05253452425909888,52.53452425909888,26.26726212954944,0.025094811195159807,0.02327126268725514,2.871575835086722
