pair_id,left_dip_id_sorted,right_dip_id_sorted,left_center_x1_GHz,right_center_x1_GHz,left_center_x1_err_MHz,right_center_x1_err_MHz,pair_center_GHz,pair_center_minus_D_eff_MHz,splitting_GHz,splitting_MHz,zeeman_half_MHz,left_contrast,right_contrast,D_eff_GHz
1,1,8,2.806329458277993,2.9313197152368726,1.163476068524704,0.625016712232563,2.868824586757433,-1.7372999025182523,0.12499025695887944,124.99025695887944,62.49512847943972,0.004768643454986446,0.010245066529097109,2.870561886659951
2,2,7,2.820707386660703,2.921525092090193,0.6578325176567106,0.4469362862763907,2.871116239375448,0.5543527154969752,0.10081770542949009,100.81770542949009,50.408852714745045,0.008993789933073235,0.01607553091817859,2.870561886659951
3,3,6,2.831556172073517,2.9091341616174935,0.00237702632570113,0.5329248321151931,2.8703451668455053,-0.21671981444582045,0.07757798954397632,77.57798954397632,38.78899477198816,3.771739213440649e-22,0.012589081892946248,2.870561886659951
4,4,5,2.844552165261079,2.8993709420617564,0.5565000727971301,0.3905597638497773,2.871961553661418,1.3996670014666535,0.05481877680067759,54.8187768006776,27.4093884003388,0.010850366748898032,0.01948837734054266,2.870561886659951
