frequency_Hz,frequency_GHz,y_raw,y_norm,y_smooth,baseline_raw,y_fit,y_model,residual
2790000000.0,2.79,1.4780984,0.9262515493371468,0.9386466713308056,1.477894750658247,0.9994223545682751,0.999945271968684,-0.0005229174004088843
2790500000.0,2.7905,1.4783322,0.938530703136445,0.9077660812235269,1.4778951864979426,0.9995801446245799,0.9999431015137861,-0.0003629568892061785
2791000000.0,2.791,1.477395,0.889309048129196,0.9035075354164858,1.4778956182666847,0.9989461613068864,0.9999407763903188,-0.0009946150834323486
2791500000.0,2.7915,1.4777942,0.9102749942227607,0.917402172696133,1.477896045964473,0.9992157927121453,0.9999382798982659,-0.0007224871861205573
2792000000.0,2.792,1.4781746,0.9302535661015046,0.9409811318489184,1.477896469591308,0.999472715031412,0.9999355928516828,-0.0004628778202707684
2792500000.0,2.7925,1.4791464,0.981292409823276,0.9588659101799006,1.4778968891471889,1.0001295169378168,0.9999326930981618,0.0001968238396550248
2793000000.0,2.793,1.4792433999999997,0.9863868406125222,0.9759420183885468,1.4778973046321164,1.0001948226073047,0.9999295549224674,0.00026526768483736696
2793500000.0,2.7935,1.4791215999999998,0.9799899161781706,0.975607982698112,1.4778977160460902,1.000112188766053,0.9999261483005089,0.00018604046554404619
2794000000.0,2.794,1.4787982,0.9630049788869454,0.9674388866106957,1.4778981233891104,0.9998932453616187,0.9999224379580677,-2.9192596448956998e-05
2794500000.0,2.7945,1.4784512,0.9447805718366811,0.9577635378353311,1.4778985266611768,0.999658347634568,0.999918382172199,-0.00026003453763101536
2795000000.0,2.795,1.4784108,0.9426587676729004,0.9451665362990269,1.4778989258622897,0.9996307610627647,0.9999139312297135,-0.0002831701669487874
2795500000.0,2.7955,1.4785442,0.9496649230057684,0.9405022230697697,1.477899320992449,0.9997206924856905,0.9999090254231893,-0.00018833293749875857
2796000000.0,2.796,1.4786026,0.9527320854603452,0.941372643868344,1.4778997120516546,0.9997599152241965,0.9999035924151582,-0.00014367719096175513
2796500000.0,2.7965,1.477872,0.9143610428351913,0.9487350251199282,1.4779000990399065,0.9992656570090082,0.9998975437268706,-0.0006318867178624066
2797000000.0,2.797,1.4786902000000002,0.9573328291422043,0.9498526305105537,1.4779004819572046,0.9998186252768941,0.9998907699953609,-7.214471846672676e-05
2797500000.0,2.7975,1.4785386,0.9493708115375252,0.9326029565204745,1.4779008608035493,0.9997158644385032,0.9998831344681813,-0.00016727002967809046
2798000000.0,2.798,1.4784202,0.9431524547803107,0.9200241891676462,1.4779012355789403,0.9996355546252738,0.9998744639295251,-0.0002389093042513002
2798500000.0,2.7985,1.477287,0.8836368983844433,0.8855790435483679,1.4779016062833774,0.9988690895663342,0.9998645358054346,-0.000995446239100306
2799000000.0,2.799,1.4763456,0.8341946597760089,0.8608924600604997,1.4779019729168612,0.998232313371791,0.9998530594550814,-0.0016207460832904363
2799500000.0,2.7995,1.4771486,0.8763681435263534,0.8738998898763982,1.4779023354793912,0.9987750174720951,0.9998396483893969,-0.001064630917301801
2800000000.0,2.8,1.4759078,0.8112014453477514,0.8797831196204684,1.4779026939709674,0.9979358076520368,0.999823777925402,-0.0018879702733651804
2800500000.0,2.8005,1.4788717999999998,0.966870443898179,0.9018750379120433,1.4779030483915903,0.9999396779568147,0.9998047187023288,0.00013495925448592239
2801000000.0,2.801,1.4790807999999998,0.9778471040523716,0.9175040522175537,1.477903398741259,1.0000807563011724,0.9997814287173569,0.00029932758381556734
2801500000.0,2.8015,1.4766131999999998,0.8482489863657815,0.9152230058828101,1.4779037450199746,0.9984120541731183,0.9997523710722851,-0.0013403168991668046
2802000000.0,2.802,1.4779392,0.9178903804541452,0.907875448431267,1.4779040872277363,0.9993083977188498,0.9997151922107522,-0.0004067944919023958
2802500000.0,2.8025,1.4772846,0.883510850612334,0.8774415958193154,1.4779044253645444,0.9988655614787773,0.9996661234459525,-0.0008005619671752617
2803000000.0,2.803,1.4770734,0.872418646667047,0.8780102204189493,1.477904759430399,0.9987225329074687,0.9995987979394022,-0.0008762650319334986
2803500000.0,2.8035,1.4770834000000002,0.8729438457174905,0.8980771439647902,1.4779050894252996,0.9987290714012382,0.9995017406980927,-0.000772669296854489
2804000000.0,2.804,1.4775386,0.896850906493511,0.9000454808735683,1.4779054153492468,0.9990366342946888,0.999352599343741,-0.00031596504905218037
2804500000.0,2.8045,1.477855,0.9134682044494349,0.8854982856684038,1.4779057372022402,0.9992503503080629,0.999103765418341,0.0001465848897218569
2805000000.0,2.805,1.4771498,0.876431167412408,0.8335817001915994,1.47790605498428,0.9987733151940889,0.9986451716359956,0.00012814355809320777
2805500000.0,2.8055,1.4758558,0.8084704102854544,0.7811864787663192,1.4779063686953662,0.9978981666063231,0.9977332689475525,0.00016489765877059082
2806000000.0,2.806,1.4732348,0.6708157391651091,0.7519383937420987,1.4779066783354986,0.9961257718322298,0.9962649890511985,-0.00013921721896870132
2806500000.0,2.8065,1.4729096,0.6537362660447962,0.7366337751098191,1.4779069839046775,0.9959056823684949,0.9960093157126044,-0.00010363334410956604
2807000000.0,2.807,1.475267,0.7775466901955509,0.7104092451038553,1.4779072854029027,0.9974994314541428,0.9970125029250821,0.0004869285290606262
2807500000.0,2.8075,1.475901,0.8108443099934418,0.7028074549344749,1.4779075828301742,0.9979279087120358,0.9972072051095002,0.0007207036025356217
2808000000.0,2.808,1.4737462,0.6976744186046119,0.7256020031591595,1.477907876186492,0.9964707466247468,0.9963416797478304,0.00012906687691638385
2808500000.0,2.8085,1.4719114,0.6013108968298697,0.7448630758329764,1.4779081654718564,0.995229955218026,0.9953704210533598,-0.00014046583533378065
2809000000.0,2.809,1.4745712000000002,0.7410033402659344,0.7153708073541365,1.477908450686267,0.9970281812674554,0.9962419490128236,0.0007862322546318135
2809500000.0,2.8095,1.475774,0.8041742820528534,0.683114673188378,1.477908731829724,0.9978412621097796,0.9969780326805795,0.0008632294292001408
2810000000.0,2.81,1.4743818000000002,0.7310560702505989,0.677727586027797,1.4779090089022273,0.9968997423244698,0.996569815258678,0.00032992706579171305
2810500000.0,2.8105,1.4708712,0.5466796916030896,0.6715867586542206,1.477909281903777,0.9945258747858683,0.9952569353992188,-0.0007310606133504871
2811000000.0,2.811,1.4720333999999995,0.6077183252452131,0.6548286800697072,1.477909550834373,0.9953115122887652,0.9954724894085039,-0.0001609771197386145
2811500000.0,2.8115,1.4742052,0.7217810550198227,0.6820920583446213,1.4779098156940154,0.9967797905121657,0.9971485594421208,-0.0003687689299550767
2812000000.0,2.812,1.4749652,0.7616961828532623,0.7500597726537919,1.477910076482704,0.9972934864412449,0.9981585880829212,-0.0008651016416763024
2812500000.0,2.8125,1.4761786,0.825423835633658,0.8324314460634645,1.477910333200439,0.9981137499928977,0.9986172147412605,-0.0005034647483628252
2813000000.0,2.813,1.4772880000000002,0.8836894182894947,0.8529875550105744,1.4779105858472203,0.9988636967339258,0.9988073404785137,5.635625541211553e-05
2813500000.0,2.8135,1.4769647999999995,0.8667149849792378,0.8545190900077897,1.477910834423048,0.9986449980907237,0.998849037678938,-0.00020403958821424428
2814000000.0,2.814,1.4766244,0.8488372093022797,0.8517644096202861,1.4779110789279222,0.9984146725485443,0.9987806762643393,-0.0003660037157949825
2814500000.0,2.8145,1.4750798,0.7677149639713097,0.8373675441173551,1.4779113193618425,0.9973701341432077,0.9985959261393961,-0.0012257919961883301
2815000000.0,2.815,1.4762156,0.8273670721202897,0.8278654428209657,1.4779115557248095,0.9981379417747117,0.998243815935486,-0.00010587416077423306
2815500000.0,2.8155,1.4754412,0.7866956576542062,0.749501151845605,1.4779117880168224,0.9976141771606618,0.9975926473532161,2.152980744574151e-05
2816000000.0,2.816,1.4739612000000002,0.7089661981890893,0.6010584375114241,1.477912016237882,0.9966133266692104,0.9963226466007127,0.00029068006849775063
2816500000.0,2.8165,1.4711834,0.5630764059578283,0.4847613154476219,1.4779122403879879,0.9947349767691455,0.9937499414510399,0.0009850353181055649
2817000000.0,2.817,1.463844,0.17761181487783304,0.41506781070023646,1.4779124604671399,0.9897723224019233,0.9899943605350683,-0.00022203813314503051
2817500000.0,2.8175,1.4643722,0.20535282872207716,0.37634536216497155,1.4779126764753385,0.9901293180247895,0.9902048128378795,-7.54948130899935e-05
2818000000.0,2.818,1.4703122,0.5173210646834902,0.3080327898818984,1.4779128884125834,0.9941454823462584,0.9927292883009625,0.0014161940452959154
2818500000.0,2.8185,1.4699918,0.5004936871073958,0.28302394789442586,1.4779130962788747,0.9939287054234511,0.9928659162829035,0.001062789140547582
2819000000.0,2.819,1.464601,0.21736938299615366,0.3127645832315812,1.4779133000742122,0.9902836023700248,0.9903155015365336,-3.189916650880864e-05
2819500000.0,2.8195,1.4610368,0.03017793743829789,0.30507730611719175,1.477913499798596,0.9878735505260056,0.9883948716075277,-0.0005213210815221414
2820000000.0,2.82,1.4661776,0.3001722652885336,0.21560794268299874,1.4779136954520262,0.9913493483994994,0.9910910988902889,0.0002582495092104953
2820500000.0,2.8205,1.4676014,0.37495010609019147,0.16927815642127877,1.477913887034503,0.9923119156917118,0.9926619829637681,-0.00035006727205622035
2821000000.0,2.821,1.4654572,0.2623369256948265,0.1933446412553915,1.477914074546026,0.9908619990377623,0.991218767105172,-0.00035676806740969624
2821500000.0,2.8215,1.4604621999999998,0.0,0.24416208288394664,1.4779142579865951,0.9874845306933399,0.9879175402941828,-0.0004330096008429152
