Frequency	Pixel(95-95)
2720000000.000000	1.487153
2720500000.000000	1.485910
2721000000.000000	1.486129
2721500000.000000	1.486667
2722000000.000000	1.486428
2722500000.000000	1.485955
2723000000.000000	1.484947
2723500000.000000	1.485214
2724000000.000000	1.485531
2724500000.000000	1.485664
2725000000.000000	1.485500
2725500000.000000	1.486234
2726000000.000000	1.485804
2726500000.000000	1.486237
2727000000.000000	1.486281
2727500000.000000	1.486520
2728000000.000000	1.486170
2728500000.000000	1.486913
2729000000.000000	1.485710
2729500000.000000	1.486170
2730000000.000000	1.486126
2730500000.000000	1.485787
2731000000.000000	1.485039
2731500000.000000	1.485712
2732000000.000000	1.485260
2732500000.000000	1.484877
2733000000.000000	1.484138
2733500000.000000	1.484852
2734000000.000000	1.485313
2734500000.000000	1.485328
2735000000.000000	1.485609
2735500000.000000	1.485459
2736000000.000000	1.485070
2736500000.000000	1.485790
2737000000.000000	1.486549
2737500000.000000	1.486172
2738000000.000000	1.485449
2738500000.000000	1.486484
2739000000.000000	1.486495
2739500000.000000	1.485964
2740000000.000000	1.486029
2740500000.000000	1.486208
2741000000.000000	1.486278
2741500000.000000	1.486417
2742000000.000000	1.486153
2742500000.000000	1.485684
2743000000.000000	1.484831
2743500000.000000	1.485219
2744000000.000000	1.486025
2744500000.000000	1.486163
2745000000.000000	1.486398
2745500000.000000	1.486537
2746000000.000000	1.486649
2746500000.000000	1.486805
2747000000.000000	1.487335
2747500000.000000	1.486996
2748000000.000000	1.486357
2748500000.000000	1.486571
2749000000.000000	1.485858
2749500000.000000	1.486213
2750000000.000000	1.486083
2750500000.000000	1.485907
2751000000.000000	1.486875
2751500000.000000	1.486855
2752000000.000000	1.486207
2752500000.000000	1.486414
2753000000.000000	1.486131
2753500000.000000	1.486014
2754000000.000000	1.485586
2754500000.000000	1.486541
2755000000.000000	1.486094
2755500000.000000	1.485930
2756000000.000000	1.486267
2756500000.000000	1.485371
2757000000.000000	1.485999
2757500000.000000	1.486711
2758000000.000000	1.485743
2758500000.000000	1.486122
2759000000.000000	1.485338
2759500000.000000	1.486479
2760000000.000000	1.486563
2760500000.000000	1.486797
2761000000.000000	1.486550
2761500000.000000	1.485749
2762000000.000000	1.486153
2762500000.000000	1.487086
2763000000.000000	1.486360
2763500000.000000	1.486812
2764000000.000000	1.486961
2764500000.000000	1.486439
2765000000.000000	1.486227
2765500000.000000	1.486207
2766000000.000000	1.486315
2766500000.000000	1.485630
2767000000.000000	1.485909
2767500000.000000	1.485369
2768000000.000000	1.485934
2768500000.000000	1.486578
2769000000.000000	1.485319
2769500000.000000	1.486267
2770000000.000000	1.486056
2770500000.000000	1.485752
2771000000.000000	1.486588
2771500000.000000	1.487193
2772000000.000000	1.486521
2772500000.000000	1.485639
2773000000.000000	1.485807
2773500000.000000	1.486281
2774000000.000000	1.486606
2774500000.000000	1.486918
2775000000.000000	1.486926
2775500000.000000	1.486421
2776000000.000000	1.486134
2776500000.000000	1.485820
2777000000.000000	1.485893
2777500000.000000	1.485866
2778000000.000000	1.486462
2778500000.000000	1.486571
2779000000.000000	1.486590
2779500000.000000	1.486310
2780000000.000000	1.485499
2780500000.000000	1.486065
2781000000.000000	1.486175
2781500000.000000	1.485073
2782000000.000000	1.485587
2782500000.000000	1.485768
2783000000.000000	1.485047
2783500000.000000	1.485253
2784000000.000000	1.485887
2784500000.000000	1.485640
2785000000.000000	1.484715
2785500000.000000	1.485535
2786000000.000000	1.484464
2786500000.000000	1.485573
2787000000.000000	1.485541
2787500000.000000	1.485626
2788000000.000000	1.485924
2788500000.000000	1.485717
2789000000.000000	1.485203
2789500000.000000	1.486084
2790000000.000000	1.484586
2790500000.000000	1.485030
2791000000.000000	1.486348
2791500000.000000	1.485847
2792000000.000000	1.485661
2792500000.000000	1.485618
2793000000.000000	1.485137
2793500000.000000	1.485403
2794000000.000000	1.485951
2794500000.000000	1.485656
2795000000.000000	1.486720
2795500000.000000	1.486891
2796000000.000000	1.486474
2796500000.000000	1.486944
2797000000.000000	1.485983
2797500000.000000	1.485966
2798000000.000000	1.486211
2798500000.000000	1.486146
2799000000.000000	1.486219
2799500000.000000	1.485994
2800000000.000000	1.485986
2800500000.000000	1.486122
2801000000.000000	1.486445
2801500000.000000	1.486215
2802000000.000000	1.484922
2802500000.000000	1.485415
2803000000.000000	1.486421
2803500000.000000	1.486703
2804000000.000000	1.486800
2804500000.000000	1.487532
2805000000.000000	1.486710
2805500000.000000	1.485921
2806000000.000000	1.485158
2806500000.000000	1.484120
2807000000.000000	1.481516
2807500000.000000	1.479671
2808000000.000000	1.482597
2808500000.000000	1.482186
2809000000.000000	1.481087
2809500000.000000	1.479439
2810000000.000000	1.480772
2810500000.000000	1.481988
2811000000.000000	1.481900
2811500000.000000	1.479827
2812000000.000000	1.479209
2812500000.000000	1.481441
2813000000.000000	1.482150
2813500000.000000	1.483167
2814000000.000000	1.484467
2814500000.000000	1.484320
2815000000.000000	1.484459
2815500000.000000	1.484389
2816000000.000000	1.483561
2816500000.000000	1.482590
2817000000.000000	1.480648
2817500000.000000	1.474927
