Frequency	Pixel(95-95)
2720000000.000000	1.478608
2720500000.000000	1.478965
2721000000.000000	1.478671
2721500000.000000	1.478575
2722000000.000000	1.478902
2722500000.000000	1.479048
2723000000.000000	1.479433
2723500000.000000	1.479590
2724000000.000000	1.479322
2724500000.000000	1.479742
2725000000.000000	1.480058
2725500000.000000	1.478952
2726000000.000000	1.478580
2726500000.000000	1.478215
2727000000.000000	1.479001
2727500000.000000	1.478378
2728000000.000000	1.478919
2728500000.000000	1.478878
2729000000.000000	1.478938
2729500000.000000	1.479165
2730000000.000000	1.479431
2730500000.000000	1.478736
2731000000.000000	1.479194
2731500000.000000	1.478817
2732000000.000000	1.478993
2732500000.000000	1.478662
2733000000.000000	1.479114
2733500000.000000	1.479803
2734000000.000000	1.479619
2734500000.000000	1.480048
2735000000.000000	1.478407
2735500000.000000	1.478941
2736000000.000000	1.478268
2736500000.000000	1.478085
2737000000.000000	1.478869
2737500000.000000	1.478598
2738000000.000000	1.478789
2738500000.000000	1.479266
2739000000.000000	1.480252
2739500000.000000	1.479719
2740000000.000000	1.479930
2740500000.000000	1.478666
2741000000.000000	1.477877
2741500000.000000	1.478707
2742000000.000000	1.479170
2742500000.000000	1.479399
2743000000.000000	1.478944
2743500000.000000	1.479365
2744000000.000000	1.479419
2744500000.000000	1.478962
2745000000.000000	1.479948
2745500000.000000	1.480400
2746000000.000000	1.480216
2746500000.000000	1.480045
2747000000.000000	1.480298
2747500000.000000	1.480226
2748000000.000000	1.479472
2748500000.000000	1.479854
2749000000.000000	1.479669
2749500000.000000	1.479111
2750000000.000000	1.479254
2750500000.000000	1.478588
2751000000.000000	1.479184
2751500000.000000	1.478472
2752000000.000000	1.478583
2752500000.000000	1.479293
2753000000.000000	1.478408
2753500000.000000	1.479666
2754000000.000000	1.479841
2754500000.000000	1.479262
2755000000.000000	1.479355
2755500000.000000	1.479437
2756000000.000000	1.479941
2756500000.000000	1.478822
2757000000.000000	1.479899
2757500000.000000	1.479923
2758000000.000000	1.479709
2758500000.000000	1.479385
2759000000.000000	1.479390
2759500000.000000	1.479768
2760000000.000000	1.479873
2760500000.000000	1.479409
2761000000.000000	1.479217
2761500000.000000	1.478297
2762000000.000000	1.478052
2762500000.000000	1.479286
2763000000.000000	1.478772
2763500000.000000	1.479157
2764000000.000000	1.479715
2764500000.000000	1.479289
2765000000.000000	1.479503
2765500000.000000	1.479669
2766000000.000000	1.479368
2766500000.000000	1.478222
2767000000.000000	1.478583
2767500000.000000	1.479273
2768000000.000000	1.479232
2768500000.000000	1.478754
2769000000.000000	1.479495
2769500000.000000	1.478735
2770000000.000000	1.478286
2770500000.000000	1.477968
2771000000.000000	1.478745
2771500000.000000	1.478399
2772000000.000000	1.478348
2772500000.000000	1.478021
2773000000.000000	1.478435
2773500000.000000	1.478765
2774000000.000000	1.478292
2774500000.000000	1.479193
2775000000.000000	1.479122
2775500000.000000	1.479431
2776000000.000000	1.478180
2776500000.000000	1.479265
2777000000.000000	1.478840
2777500000.000000	1.478259
2778000000.000000	1.478261
2778500000.000000	1.479243
2779000000.000000	1.478345
2779500000.000000	1.478323
2780000000.000000	1.478407
2780500000.000000	1.478005
2781000000.000000	1.479124
2781500000.000000	1.479187
2782000000.000000	1.479520
2782500000.000000	1.479192
2783000000.000000	1.479325
2783500000.000000	1.479279
2784000000.000000	1.478770
2784500000.000000	1.479735
2785000000.000000	1.479904
2785500000.000000	1.479955
2786000000.000000	1.479680
2786500000.000000	1.479841
2787000000.000000	1.480167
2787500000.000000	1.479983
2788000000.000000	1.479276
2788500000.000000	1.479583
2789000000.000000	1.479107
2789500000.000000	1.479873
2790000000.000000	1.479700
2790500000.000000	1.479573
2791000000.000000	1.479304
2791500000.000000	1.479770
2792000000.000000	1.479844
2792500000.000000	1.479365
2793000000.000000	1.479550
2793500000.000000	1.479379
2794000000.000000	1.479203
2794500000.000000	1.479695
2795000000.000000	1.479760
2795500000.000000	1.480146
2796000000.000000	1.480068
2796500000.000000	1.480096
2797000000.000000	1.479517
2797500000.000000	1.479074
2798000000.000000	1.479989
2798500000.000000	1.479354
2799000000.000000	1.480266
2799500000.000000	1.479702
2800000000.000000	1.480203
2800500000.000000	1.479797
2801000000.000000	1.480156
2801500000.000000	1.479883
2802000000.000000	1.480235
2802500000.000000	1.479363
2803000000.000000	1.478696
2803500000.000000	1.477875
2804000000.000000	1.479692
2804500000.000000	1.479566
2805000000.000000	1.479728
2805500000.000000	1.479323
2806000000.000000	1.479193
2806500000.000000	1.477988
2807000000.000000	1.477548
2807500000.000000	1.475896
2808000000.000000	1.473683
2808500000.000000	1.475580
2809000000.000000	1.475939
2809500000.000000	1.475468
2810000000.000000	1.473694
2810500000.000000	1.474544
2811000000.000000	1.476446
2811500000.000000	1.476891
2812000000.000000	1.474574
2812500000.000000	1.472842
2813000000.000000	1.475858
2813500000.000000	1.477354
2814000000.000000	1.478153
