pixel,row,col,x_um,y_um,OFF_start_s,OFF_end_s,OFF_first_frame,OFF_last_frame,POS_time_requested_s,NEG_time_requested_s,POS_time_actual_s,NEG_time_actual_s,POS_frame,NEG_frame,dV_pos_d1_V,dV_neg_d1_V,deltaNu_pos_d1_MHz,deltaNu_neg_d1_MHz,dV_pos_d2_V,dV_neg_d2_V,deltaNu_pos_d2_MHz,deltaNu_neg_d2_MHz,dV_pos_d3_V,dV_neg_d3_V,deltaNu_pos_d3_MHz,deltaNu_neg_d3_MHz,dV_pos_d4_V,dV_neg_d4_V,deltaNu_pos_d4_MHz,deltaNu_neg_d4_MHz,Bx_pos_nT,Bx_neg_nT,Bx_odd_nT,Bx_even_nT,By_pos_nT,By_neg_nT,By_odd_nT,By_even_nT,Bz_pos_nT,Bz_neg_nT,Bz_odd_nT,Bz_even_nT
620,0,10,-33.33333333333333,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.00046097849448000557,-0.0005948384400487026,-0.07685536753573857,0.09917279760718066,1.014471605091507e-05,1.2484259014364301e-05,-0.0014793607073889615,-0.0018205262871848525,0.00020652860168970174,-0.00022593201007816132,-0.07775508050468104,0.08506018773421935,-3.748796139502454e-05,4.771859175616409e-05,0.019423814194304174,-0.024724658941006134,1822.9135395066962,-2262.1135112594616,2042.513525383079,-219.59998587638268,1499.227745830549,-1581.9219494189315,1540.5748476247404,-41.34710179419119,2541.9982334761953,-3122.202506794873,2832.100370135534,-290.10213665933884
619,0,11,-26.666666666666657,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0005581073780166211,-0.0007581350247624657,-0.09304891264018664,0.12639797011693962,7.658584783337263e-06,1.1255151462925928e-05,-0.0011168187799257508,-0.001641290771116468,0.00027848368729033667,-0.00029888627731993904,-0.10484514661574,0.11252643151902533,-4.3616030288882666e-05,5.6961326682426775e-05,0.022598979424280997,-0.02951364076808301,2196.4725412605108,-2900.7343866193946,2548.6034639399527,-352.13092267944194,2078.573684680477,-2157.0433338274092,2117.808509253943,-39.234824573466085,3223.1833009226275,-3996.180797965672,3609.68204944415,-386.4987485215222
558,0,12,-20.0,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.00038030111762710195,-0.0005274310843766835,-0.06340465448925797,0.08793449222673304,-1.549697514909218e-05,3.0450938804373997e-05,0.002259857841647745,-0.004440530631336231,0.00016189130297970925,-0.0001978251062350384,-0.06094977254098496,0.0744783382800557,-3.4537848015410326e-05,4.1140511770693866e-05,0.017895258039064364,-0.02131632734231849,1423.5607456645434,-1941.9032652513813,1682.7320054579623,-259.1712597934189,1111.6557271467032,-1386.400978376134,1249.0283527614185,-137.3726256147154,2135.316791958208,-2790.980573579692,2463.14868276895,-327.83189081074215
557,0,13,-13.333333333333329,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0005407595006802574,-0.0007643268947470092,-0.0901566356584695,0.12743029255517485,-1.8357096567731822e-06,1.1456207002827037e-05,0.00026769371589851094,-0.0016706098436503657,0.00024506335767627207,-0.000251789389649994,-0.09226286794646965,0.09479512330149094,-3.9868133927556415e-05,6.260455239394497e-05,0.020657064211159495,-0.032437591913946,2094.386950728333,-2915.6012351224867,2504.99409292541,-410.6071421970769,1824.5136883728192,-1687.983019217507,1756.248353795163,68.26533457765606,2996.7232590568437,-3810.025257142974,3403.3742580999087,-406.6509990430652
496,0,14,-6.666666666666657,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0006255431254193661,-0.00041773729248656297,-0.10429195155359954,0.06964609744681192,0.00010966748132056877,-0.00021108947860383522,-0.015992341424807866,0.03078227905270634,0.00010281719982260706,-0.00013608300218983176,-0.03870921307782876,0.051233314436935296,-1.9930986367311827e-05,2.4597357989700026e-05,0.01032693594160753,-0.012744745072377491,2766.6998767088344,-2308.9798581128152,2537.839867410825,228.86000929800957,906.247441769158,-1113.6725214114417,1009.9599815902998,-103.71253982114189,2065.805234677913,-1500.5343860619769,1783.169810369945,282.63542430796815
495,0,15,0.0,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0005615789183859415,-0.00047362221969097693,-0.0936276956294023,0.07896335773429704,0.00010529378958989889,-0.0001564658713560814,-0.015354544599336203,0.022816751200314168,0.00016540803741571435,-0.0001728270566331003,-0.062273773027832754,0.065066928221806,-4.0980091997322436e-05,4.558848130405624e-05,0.0212332082887582,-0.02362097476893004,2513.6295487576494,-2345.5165576114664,2429.573053184558,84.05649557309152,1178.2393964564988,-1181.6512211188885,1179.9453087876936,-1.7059123311948952,2396.992068369209,-2124.112727138915,2260.552397754062,136.43967061514695
434,0,16,6.666666666666671,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0014781145659727279,-0.0002506360613123192,-0.24643457251928272,0.041786605753912666,0.0003978295318909752,-0.0007840123352117228,-0.05801378518281602,0.11432917757376429,8.856842325735837e-05,-0.0001057508497280173,-0.033344751401045085,0.039813690533742785,-1.2057744325240977e-05,2.530562066818082e-05,0.006247535919811064,-0.013111720553455452,6975.357694454628,-3547.0583687548283,5261.208031604728,1714.1496628498996,1277.5567375910407,-1033.8929791658038,1155.7248583784221,121.83187921261845,3488.2542535756716,406.29061621085003,1540.9818186824107,1947.2724348932609
433,0,17,13.333333333333343,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0011564385749612623,-0.00040486574902567836,-0.19280403050344158,0.06750012487914493,0.0003432501081736596,-0.0006210734173854389,-0.05005470042636818,0.09056848959325245,0.00013070503670705613,-0.00015773461029683293,-0.04920858693845116,0.0593848368780986,-4.683558910589477e-06,1.8558016374240025e-05,0.002426714461444193,-0.009615552525508483,5572.686888844758,-3611.057336938712,4591.872112891735,980.814775953023,1597.0916938235848,-1540.8706380703006,1568.9811659469428,28.110527876642095,2939.7732544709643,-590.2142750271811,1764.9937647490726,1174.7794897218917
372,0,18,20.0,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.002438076889059835,-0.0010378933408920284,-0.40648164205675563,0.17303990344957898,0.0005674165239421838,-0.0010591070952790807,-0.08274393349507088,0.15444507404733138,-5.557612345032092e-07,7.118205082844219e-06,0.00020923619865060423,-0.0026799029516354897,5.256400398501563e-05,-1.8245183328211707e-05,-0.027235235225384,0.009453462864353989,11203.405655089964,-7453.653224331512,9328.52943971074,1874.8762153792259,1646.9246858686604,-942.7604791596949,1294.8425825141776,352.08210335448274,4638.545795744739,-88.50525428818345,2363.525525016461,2275.020270728278
371,0,19,26.66666666666667,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.002017405357565334,-0.0009535912275426437,-0.336346341707654,0.1589848662122888,0.0006272977892996706,-0.001004605891426669,-0.09147616322274346,0.14649739576042842,3.4696166954209e-05,-4.453646859717094e-05,-0.013062613278046984,0.016767346860606283,4.7723792169009816e-05,2.414303101292191e-07,-0.02472735345543397,-0.00012509342493736088,9794.846993986645,-6956.8056961140755,8375.82634505036,1419.0206489362845,1781.8678648914577,-1122.23861482673,1452.053239859094,329.8146250323638,3626.2353612365378,-405.42053779668504,2015.8279495166114,1610.4074117199264
