pair_k,left_dip,right_dip,assigned_nv_axis,nv_x,nv_y,nv_z
1,4,5,1,0.5773502691896258,0.5773502691896258,0.5773502691896258
2,3,6,2,-0.5773502691896258,-0.5773502691896258,0.5773502691896258
3,2,7,3,-0.5773502691896258,0.5773502691896258,-0.5773502691896258
4,1,8,4,0.5773502691896258,-0.5773502691896258,-0.5773502691896258
