Displacement,Files Averaged,Data Points,Columns,Mean Value,Std Dev,Min Value,Max Value
0cm-0.0mm,5,660,1,1.476806,0.003064,1.460508,1.481155
0cm-0.1mm,7,660,1,1.477593,0.003120,1.461572,1.480911
0cm-0.2mm,5,660,1,1.477806,0.003114,1.460399,1.481216
0cm-0.3mm,5,660,1,1.476595,0.003061,1.460462,1.479944
0cm-0.4mm,5,660,1,1.476464,0.003135,1.460517,1.479802
