Frequency	Pixel(95-95)
2720000000.000000	1.496004
2720500000.000000	1.496097
2721000000.000000	1.495862
2721500000.000000	1.496293
2722000000.000000	1.496402
2722500000.000000	1.496915
2723000000.000000	1.496184
2723500000.000000	1.495865
2724000000.000000	1.496795
2724500000.000000	1.496798
2725000000.000000	1.495988
2725500000.000000	1.495683
2726000000.000000	1.495861
2726500000.000000	1.495519
2727000000.000000	1.494972
2727500000.000000	1.494686
2728000000.000000	1.494651
2728500000.000000	1.494085
2729000000.000000	1.494636
2729500000.000000	1.494357
2730000000.000000	1.493917
2730500000.000000	1.493629
2731000000.000000	1.493117
2731500000.000000	1.492631
2732000000.000000	1.492342
2732500000.000000	1.492316
2733000000.000000	1.491997
2733500000.000000	1.491035
2734000000.000000	1.491703
2734500000.000000	1.491502
2735000000.000000	1.491096
2735500000.000000	1.490484
2736000000.000000	1.490387
2736500000.000000	1.489545
2737000000.000000	1.490104
2737500000.000000	1.489167
2738000000.000000	1.488934
2738500000.000000	1.487865
2739000000.000000	1.488340
2739500000.000000	1.488794
2740000000.000000	1.488812
2740500000.000000	1.488671
2741000000.000000	1.488650
2741500000.000000	1.488013
2742000000.000000	1.488568
2742500000.000000	1.488220
2743000000.000000	1.488232
2743500000.000000	1.487642
2744000000.000000	1.487603
2744500000.000000	1.487233
2745000000.000000	1.487554
2745500000.000000	1.487182
2746000000.000000	1.487085
2746500000.000000	1.487559
2747000000.000000	1.486652
2747500000.000000	1.486218
2748000000.000000	1.486012
2748500000.000000	1.485623
2749000000.000000	1.486165
2749500000.000000	1.486198
2750000000.000000	1.486286
2750500000.000000	1.486189
2751000000.000000	1.486419
2751500000.000000	1.485674
2752000000.000000	1.486081
2752500000.000000	1.485769
2753000000.000000	1.485723
2753500000.000000	1.485395
2754000000.000000	1.485100
2754500000.000000	1.485080
2755000000.000000	1.485749
2755500000.000000	1.485603
2756000000.000000	1.485333
2756500000.000000	1.484824
2757000000.000000	1.485156
2757500000.000000	1.484973
2758000000.000000	1.484375
2758500000.000000	1.485132
2759000000.000000	1.484525
2759500000.000000	1.484580
2760000000.000000	1.484787
2760500000.000000	1.486009
2761000000.000000	1.485597
2761500000.000000	1.485606
2762000000.000000	1.485394
2762500000.000000	1.485604
2763000000.000000	1.484999
2763500000.000000	1.484841
2764000000.000000	1.485983
2764500000.000000	1.486052
2765000000.000000	1.485806
2765500000.000000	1.485058
2766000000.000000	1.485455
2766500000.000000	1.485969
2767000000.000000	1.486169
2767500000.000000	1.485886
2768000000.000000	1.486529
2768500000.000000	1.486946
2769000000.000000	1.486920
2769500000.000000	1.486194
2770000000.000000	1.486787
2770500000.000000	1.487512
2771000000.000000	1.487409
2771500000.000000	1.487339
2772000000.000000	1.487598
2772500000.000000	1.487500
2773000000.000000	1.487526
2773500000.000000	1.488061
2774000000.000000	1.488154
2774500000.000000	1.488052
2775000000.000000	1.488233
2775500000.000000	1.488327
2776000000.000000	1.488670
2776500000.000000	1.488532
2777000000.000000	1.489472
2777500000.000000	1.489653
2778000000.000000	1.490014
2778500000.000000	1.490146
2779000000.000000	1.489957
2779500000.000000	1.490310
2780000000.000000	1.489982
2780500000.000000	1.490792
2781000000.000000	1.490561
2781500000.000000	1.490630
2782000000.000000	1.490421
2782500000.000000	1.490687
2783000000.000000	1.490942
2783500000.000000	1.491798
2784000000.000000	1.491504
2784500000.000000	1.491990
2785000000.000000	1.491948
2785500000.000000	1.492380
2786000000.000000	1.491799
2786500000.000000	1.491559
2787000000.000000	1.492572
2787500000.000000	1.491452
2788000000.000000	1.492199
2788500000.000000	1.492723
2789000000.000000	1.492746
2789500000.000000	1.492868
2790000000.000000	1.492906
2790500000.000000	1.492319
2791000000.000000	1.493114
2791500000.000000	1.493471
2792000000.000000	1.493602
2792500000.000000	1.493769
2793000000.000000	1.494153
2793500000.000000	1.494262
2794000000.000000	1.494252
2794500000.000000	1.493682
2795000000.000000	1.494848
2795500000.000000	1.495154
2796000000.000000	1.495045
2796500000.000000	1.494857
2797000000.000000	1.495110
2797500000.000000	1.494370
2798000000.000000	1.495139
2798500000.000000	1.495172
2799000000.000000	1.495914
2799500000.000000	1.495885
2800000000.000000	1.495702
2800500000.000000	1.495899
2801000000.000000	1.495912
2801500000.000000	1.496838
2802000000.000000	1.496008
2802500000.000000	1.496582
2803000000.000000	1.495776
2803500000.000000	1.495967
2804000000.000000	1.495802
2804500000.000000	1.496277
2805000000.000000	1.496265
2805500000.000000	1.495972
2806000000.000000	1.496125
2806500000.000000	1.496521
2807000000.000000	1.496267
2807500000.000000	1.495666
2808000000.000000	1.492888
2808500000.000000	1.490235
2809000000.000000	1.493102
2809500000.000000	1.493781
2810000000.000000	1.493103
