Frequency	Pixel(95-95)
2720000000.000000	1.478920
2720500000.000000	1.478714
2721000000.000000	1.477723
2721500000.000000	1.478974
2722000000.000000	1.478837
2722500000.000000	1.478891
2723000000.000000	1.479419
2723500000.000000	1.479129
2724000000.000000	1.479527
2724500000.000000	1.479017
2725000000.000000	1.479135
2725500000.000000	1.479424
2726000000.000000	1.479573
2726500000.000000	1.478337
2727000000.000000	1.478565
2727500000.000000	1.478493
2728000000.000000	1.478795
2728500000.000000	1.477799
2729000000.000000	1.477858
2729500000.000000	1.479391
2730000000.000000	1.478806
2730500000.000000	1.477732
2731000000.000000	1.478608
2731500000.000000	1.479346
2732000000.000000	1.479357
2732500000.000000	1.478351
2733000000.000000	1.479508
2733500000.000000	1.478794
2734000000.000000	1.478843
2734500000.000000	1.479178
2735000000.000000	1.478866
2735500000.000000	1.479579
2736000000.000000	1.480096
2736500000.000000	1.479455
2737000000.000000	1.478855
2737500000.000000	1.478848
2738000000.000000	1.479856
2738500000.000000	1.477919
2739000000.000000	1.477599
2739500000.000000	1.477881
2740000000.000000	1.478217
2740500000.000000	1.478990
2741000000.000000	1.478687
2741500000.000000	1.478366
2742000000.000000	1.478577
2742500000.000000	1.478774
2743000000.000000	1.478830
2743500000.000000	1.478915
2744000000.000000	1.478836
2744500000.000000	1.478753
2745000000.000000	1.478647
2745500000.000000	1.478175
2746000000.000000	1.479373
2746500000.000000	1.479112
2747000000.000000	1.479870
2747500000.000000	1.479518
2748000000.000000	1.479483
2748500000.000000	1.477409
2749000000.000000	1.477576
2749500000.000000	1.478718
2750000000.000000	1.478952
2750500000.000000	1.477888
2751000000.000000	1.478431
2751500000.000000	1.477934
2752000000.000000	1.477752
2752500000.000000	1.478612
2753000000.000000	1.478250
2753500000.000000	1.477253
2754000000.000000	1.479037
2754500000.000000	1.479242
2755000000.000000	1.479443
2755500000.000000	1.479186
2756000000.000000	1.478559
2756500000.000000	1.479250
2757000000.000000	1.478172
2757500000.000000	1.478728
2758000000.000000	1.478461
2758500000.000000	1.478503
2759000000.000000	1.479078
2759500000.000000	1.477820
2760000000.000000	1.477764
2760500000.000000	1.478541
2761000000.000000	1.478988
2761500000.000000	1.479182
2762000000.000000	1.479688
2762500000.000000	1.479337
2763000000.000000	1.479123
2763500000.000000	1.479449
2764000000.000000	1.478864
2764500000.000000	1.477943
2765000000.000000	1.478811
2765500000.000000	1.478988
2766000000.000000	1.478000
2766500000.000000	1.477793
2767000000.000000	1.479122
2767500000.000000	1.479430
2768000000.000000	1.479335
2768500000.000000	1.479669
2769000000.000000	1.479645
2769500000.000000	1.479719
2770000000.000000	1.479498
2770500000.000000	1.479419
2771000000.000000	1.479364
2771500000.000000	1.479752
2772000000.000000	1.480251
2772500000.000000	1.478807
2773000000.000000	1.479054
2773500000.000000	1.478328
2774000000.000000	1.478119
2774500000.000000	1.478273
2775000000.000000	1.478450
2775500000.000000	1.478026
2776000000.000000	1.478189
2776500000.000000	1.478027
