dip_id,dip_side,center_GHz,x0_GHz,x1_GHz,x2_GHz,contrast,hf01_MHz,hf12_MHz,gamma_MHz,w_m1,w_0,w_p1,global_fit_rms
1,left,2.8102012123356426,2.808012035884469,2.8102012123356426,2.8123903887868162,0.012491112834779283,2.189176451173669,2.189176451173669,1.4940489750100931,0.3013096271315045,0.3234219136268874,0.37526845924160784,0.0006150272514455598
2,left,2.8205073133031635,2.81831813685199,2.8205073133031635,2.822696489754337,0.028518816000096328,2.189176451173669,2.189176451173669,1.4940489750100931,0.3013096271315045,0.3234219136268874,0.37526845924160784,0.0006150272514455598
3,left,2.834091715075068,2.8319025386238943,2.834091715075068,2.8362808915262416,0.014153711364710084,2.189176451173669,2.189176451173669,1.4940489750100931,0.3013096271315045,0.3234219136268874,0.37526845924160784,0.0006150272514455598
4,left,2.8441705945195084,2.8419814180683347,2.8441705945195084,2.846359770970682,0.026602962835223235,2.189176451173669,2.189176451173669,1.4940489750100931,0.3013096271315045,0.3234219136268874,0.37526845924160784,0.0006150272514455598
5,right,2.9001856280274794,2.8979964515763057,2.9001856280274794,2.902374804478653,0.02180109871280952,2.189176451173669,2.189176451173669,1.4940489750100931,0.3013096271315045,0.3234219136268874,0.37526845924160784,0.0006150272514455598
6,right,2.909493771886134,2.9073045954349603,2.909493771886134,2.9116829483373077,0.013867369474956344,2.189176451173669,2.189176451173669,1.4940489750100931,0.3013096271315045,0.3234219136268874,0.37526845924160784,0.0006150272514455598
7,right,2.922029019238388,2.9198398427872143,2.922029019238388,2.9242181956895617,0.019454294893792416,2.189176451173669,2.189176451173669,1.4940489750100931,0.3013096271315045,0.3234219136268874,0.37526845924160784,0.0006150272514455598
8,right,2.9311563067942594,2.9289671303430858,2.9311563067942594,2.933345483245433,0.0096756708710741,2.189176451173669,2.189176451173669,1.4940489750100931,0.3013096271315045,0.3234219136268874,0.37526845924160784,0.0006150272514455598
