Frequency_Hz	Intensity_Averaged	Intensity_StdDev
2720000000.0	1.4872482857142857	0.00030601760653632855
2720500000.0	1.4861022857142856	0.000557750254987613
2721000000.0	1.4864487142857143	0.00025930220333246934
2721500000.0	1.4865765714285715	0.0006959556342885208
2722000000.0	1.4866181428571428	0.0003206927450609169
2722500000.0	1.4860901428571431	0.0003818404410863143
2723000000.0	1.4855117142857144	0.0006058608313290891
2723500000.0	1.4849599999999998	0.0009220266497543031
2724000000.0	1.4855864285714284	0.00076107627872688
2724500000.0	1.4855284285714287	0.000912691914400577
2725000000.0	1.4859112857142858	0.0002855729650498344
2725500000.0	1.4866175714285712	0.00037340168227595577
2726000000.0	1.486057285714286	0.00022514421681969613
2726500000.0	1.4861075714285714	0.00039956435460311346
2727000000.0	1.4862694285714286	0.0004179490253070685
2727500000.0	1.4865184285714286	0.00037184515100582616
2728000000.0	1.4860421428571426	0.00033294633998009587
2728500000.0	1.4866788571428573	0.0002676604611237003
2729000000.0	1.4857945714285716	0.00018102395827455502
2729500000.0	1.4861389999999999	0.00032137517016715765
2730000000.0	1.4861278571428571	0.00043047994098664244
2730500000.0	1.4859961428571429	0.00047545419745494594
2731000000.0	1.485656	0.0004637068039181718
2731500000.0	1.4863339999999998	0.0005812530798689489
2732000000.0	1.4857377142857142	0.000474054461695138
2732500000.0	1.485318	0.00046964971749466854
2733000000.0	1.484822	0.0008597100840233376
2733500000.0	1.485562	0.0008123130993825955
2734000000.0	1.4859714285714283	0.001010070840110164
2734500000.0	1.4858237142857145	0.0006336717749492933
2735000000.0	1.485968142857143	0.0006300969151241827
2735500000.0	1.4856594285714286	0.0002443071001498951
2736000000.0	1.4853687142857142	0.0005077090601870187
2736500000.0	1.4855437142857144	0.00020042149463120212
2737000000.0	1.4863954285714287	0.0002906145494061034
2737500000.0	1.4858739999999997	0.0004396599335200854
2738000000.0	1.4850097142857144	0.0006998974852047533
2738500000.0	1.4862322857142858	0.0005017474362624071
2739000000.0	1.4862995714285714	0.0004072176873589559
2739500000.0	1.4861681428571427	0.0002056435394222972
2740000000.0	1.4856975714285714	0.0008469509780286388
2740500000.0	1.485971142857143	0.0007656424806417972
2741000000.0	1.4857720000000003	0.0009507747217025639
2741500000.0	1.4862665714285714	0.00042212315641726076
2742000000.0	1.4857892857142858	0.0007226527943794819
2742500000.0	1.485864	0.00029019402376444567
2743000000.0	1.4842898571428569	0.0010184370979343788
2743500000.0	1.484920857142857	0.0007425116504273711
2744000000.0	1.4858622857142858	0.0002741041065443696
2744500000.0	1.4860859999999998	0.00024626118538777247
2745000000.0	1.4866700000000002	0.00039194934074991445
2745500000.0	1.4866197142857145	0.00037924124033043567
2746000000.0	1.4869824285714286	0.0003926390043730586
2746500000.0	1.487193	0.00039935805631394276
2747000000.0	1.4874570000000003	0.00040414990146870835
2747500000.0	1.4869994285714283	0.0006687360908337931
2748000000.0	1.4862662857142859	0.0002469474867750038
2748500000.0	1.4864877142857142	0.00023426219394131776
2749000000.0	1.4860458571428572	0.0003804344991759745
2749500000.0	1.4857894285714284	0.0006444561067050376
2750000000.0	1.4859425714285714	0.00042779763478367235
2750500000.0	1.4857497142857146	0.00016196182467815047
2751000000.0	1.4869045714285711	0.00016032097905926715
2751500000.0	1.4868604285714286	0.0002633058282371753
2752000000.0	1.4860245714285714	0.00034663478398656324
2752500000.0	1.4864522857142857	0.00018400831835679808
2753000000.0	1.4863364285714287	0.00025127950126320063
2753500000.0	1.486181	0.0003921774379756708
2754000000.0	1.4858344285714284	0.0005139735560576324
2754500000.0	1.4864397142857142	0.0003946458500209824
2755000000.0	1.4864338571428573	0.0007691965063013104
2755500000.0	1.4858131428571428	0.0002776701170049409
2756000000.0	1.486165	0.00039608404591522057
2756500000.0	1.4852071428571427	0.0008057511896310257
2757000000.0	1.486146142857143	0.000355870132239828
2757500000.0	1.4867831428571425	0.0004781435613977275
2758000000.0	1.4856385714285714	0.00038643715332429006
2758500000.0	1.4858745714285713	0.000495816745277896
2759000000.0	1.4855412857142856	0.00034587682129654467
2759500000.0	1.4861442857142855	0.00021796442323446043
2760000000.0	1.4863920000000002	0.0002704113268971519
2760500000.0	1.4867117142857145	0.00015678621867801215
2761000000.0	1.4862375714285714	0.00037872298852963804
2761500000.0	1.4852649999999998	0.0007157074422255982
2762000000.0	1.485983857142857	0.0003245781563688995
2762500000.0	1.4870547142857142	0.00017987274413218968
2763000000.0	1.4858808571428574	0.0004178839307652676
2763500000.0	1.4870230000000002	0.0004621508720876818
2764000000.0	1.4866531428571428	0.0003098909617321032
2764500000.0	1.4866555714285714	0.0002429078938568243
2765000000.0	1.4862667142857142	0.0001518737391818474
2765500000.0	1.4864047142857142	0.00024179372217166543
2766000000.0	1.486327	0.00024241110299893067
2766500000.0	1.485637	0.0004982208345703991
2767000000.0	1.4860475714285712	0.00030598032483102636
2767500000.0	1.4854167142857142	0.0006334620778560412
2768000000.0	1.4861112857142857	0.0004127917891921914
2768500000.0	1.4864107142857141	8.836242621922293e-05
2769000000.0	1.4851349999999999	0.0002614115529199159
2769500000.0	1.4864192857142857	0.0003396698877631626
2770000000.0	1.4858175714285713	0.0004436413793475777
2770500000.0	1.4854632857142855	0.0003132072405136858
2771000000.0	1.486289857142857	0.000372063907172434
2771500000.0	1.487055	0.00039175830741484247
2772000000.0	1.4864818571428573	0.00016776210075276338
2772500000.0	1.4854800000000001	0.0002277925121057188
2773000000.0	1.4860140000000002	0.00035349318037471926
2773500000.0	1.4864261428571428	0.00030175033604974927
2774000000.0	1.48674	0.0001237924530356098
2774500000.0	1.4868378571428573	0.00018690519259883655
2775000000.0	1.4869227142857144	0.00018390347956443712
