f_GHz,y_fit,y_model,residuals,baseline_raw
2.79,0.9427908145764061,0.9436000591982739,-0.0008092446218678218,0.07845977663636194
2.7902,0.9418568819483392,0.9422903241205143,-0.0004334421721751136,0.07845135215337251
2.7904,0.93997560293431,0.9357289710543534,0.004246631879956664,0.07844294758053616
2.7906,0.927297789293288,0.9234120772887761,0.003885712004511932,0.078434562917852
2.7908,0.9093005930506518,0.9057934030214981,0.003507190029153673,0.07842619816532093
2.791,0.8850098567639454,0.887687636659074,-0.002677779895128629,0.07841785332294204
2.7912,0.8694416194019878,0.8795734927451252,-0.010131873343137365,0.07840952839071536
2.7914,0.8806373748219218,0.887149694868895,-0.006512320046973108,0.07840122336864175
2.7916,0.9068185835671062,0.9037001066005206,0.003118476966585626,0.07839293825672033
2.7918,0.9227329874187082,0.9200518415566065,0.0026811458621017747,0.07838467305495156
2.792,0.9348975752700461,0.9315384369395205,0.0033591383305255906,0.07837642776333542
2.7922,0.9393050769445344,0.9371396102379199,0.0021654667066144384,0.07836820238187148
2.7924,0.9387588579733054,0.9369828860424865,0.0017759719308189093,0.07835999691056017
2.7926,0.9327011975108239,0.9309615131058699,0.0017396844049539784,0.0783518113494015
2.7928,0.9234311127192751,0.9187051088166217,0.004726003902653431,0.07834364569839547
2.793,0.9047779471960617,0.9012161057025824,0.0035618414934793785,0.07833549995754163
2.7932,0.8807975294744714,0.8846502097018195,-0.003852680227348082,0.07832737412684043
2.7934,0.8760202255481551,0.8803888312686358,-0.0043686057204807005,0.07831926820629187
2.7936,0.8943471763700356,0.8925857279243796,0.0017614484456559554,0.0783111821958955
2.7938,0.9204814791104018,0.912963289551216,0.007518189559185817,0.07830311609565221
2.794,0.9386392352492565,0.9326294848535543,0.006009750395702174,0.07829506990556112
2.7942,0.950247485780983,0.9479036588001649,0.002343826980818031,0.07828704362562222
2.7944,0.9607192044966858,0.9586751916537722,0.0020440128429135562,0.0782790372558364
2.7946,0.9660935975030811,0.9659362294046544,0.0001573680984267023,0.07827105079620278
2.7948,0.9688873341206824,0.9706081015190728,-0.0017207673983904437,0.07826308424672179
2.795,0.9738961445247867,0.9732800884733417,0.0006160560514449909,0.07825513760739344
2.7952,0.9741213738615128,0.9742661831597441,-0.00014480929823135202,0.07824721087821729
2.7954,0.9796375652632822,0.9738312203410865,0.005806344922195672,0.07823930405919421
2.7956,0.9764321812937561,0.9727138795106598,0.0037183017830962894,0.07823141715032289
2.7958,0.9767835985269581,0.9725962601804512,0.004187338346506864,0.07822355015160465
2.796,0.9778312536316707,0.9748213989799972,0.0030098546516734714,0.07821570306303904
2.7962,0.9791827907636613,0.9785203080954397,0.0006624826682216645,0.07820787588462563
2.7964,0.9788499518087049,0.9820871448052538,-0.003237192996548899,0.07820006861636486
2.7966,0.9761609397627288,0.9848622750588523,-0.008701335296123491,0.07819228125825628
2.7968,0.9769039441535491,0.9868678684335297,-0.009963924279980607,0.07818451381030078
2.797,0.9774821578198569,0.9882921148321525,-0.01080995701229559,0.07817676627249748
