pair_id,left_dip_id_sorted,right_dip_id_sorted,left_center_x1_GHz,right_center_x1_GHz,left_center_x1_err_MHz,right_center_x1_err_MHz,pair_center_GHz,pair_center_minus_D_eff_MHz,splitting_GHz,splitting_MHz,zeeman_half_MHz,left_contrast,right_contrast,D_eff_GHz
1,1,8,2.7911636196333753,2.9471607308885295,0.05454658430727512,0.18557117377070503,2.8691621752609526,-1.1122227683380004,0.15599711125515414,155.99711125515415,77.99855562757708,0.2814127141524002,0.06921009535089225,2.8702743980292906
2,2,7,2.7936451264619278,2.9449610976871017,0.2726562667290109,0.03520097996484786,2.8693031120745145,-0.9712859547761354,0.15131597122517393,151.31597122517394,75.65798561258697,0.04478380303262584,0.370099580655388,2.8702743980292906
3,3,6,2.803902907100701,2.940731493411778,0.04242947618577893,0.37961538864693306,2.87231720025624,2.042802226949192,0.13682858631107697,136.82858631107698,68.41429315553849,0.2535828774868179,0.028761641633545977,2.8702743980292906
4,4,5,2.8064568164486348,2.9341733926022795,0.3529276671383243,0.02759321843823105,2.8703151045254574,0.040706496166720285,0.12771657615364473,127.71657615364474,63.85828807682237,0.031118361975721567,0.3580257362630293,2.8702743980292906
