,lab_x,lab_y,lab_z
pair 1,0.7872634480896005,-0.21213990299017976,0.5789757549858116
pair 2,0.2127325773995111,0.7894878774926691,-0.5757201940223059
pair 3,0.209913178901628,0.787860097010775,0.5789757549859803
pair 4,-0.7900828465874835,0.2105121225082856,0.5757201940224747
