,Bx,By,Bz
d3,22.566028101689284,1.4008947446519926,16.61741760639046
d2,-1.7372858018838144,-22.678086590843805,16.453222801970924
d4,22.026209778314154,1.388729955476009,-17.36359229509432
d1,-1.7188509082721737,-22.134986228383724,-17.19236693897841
