,d3,d2,d4,d1
Bx,0.022915882891599237,0.0015409322540455457,0.02214287965245487,0.001260801556863435
By,-0.0018805806731793584,-0.022803279944307316,-0.0015913204487799913,-0.02203342924154564
Bz,0.01466774983472285,0.01452334951195393,-0.015044092942887938,-0.014895242458376527
