,x,y,z
pair 1,-14.649236008802147,18.4879182402691,-4.474248767506961
pair 2,-10.238418680936805,-15.983050068772103,-8.639639834850293
pair 3,2.8817046723106503,-9.463310787536354,-5.030490370236149
pair 4,7.541551531497587,-7.540333638140325,-7.172519033059696
