,Bx,By,Bz
d3,22.88227719472487,0.0,16.180213373380248
d2,-0.0,-22.88227719472487,16.180213373380248
d4,22.88227719472487,-0.0,-16.180213373380248
d1,0.0,-22.88227719472487,-16.180213373380248
