pair_id,x,y,z
1,-14.649236008802147,18.487918240269096,-4.474248767506964
2,-10.238418680936801,-15.983050068772112,-8.639639834850296
3,2.8817046723106468,-9.463310787536354,-5.030490370236151
4,7.541551531497588,-7.540333638140331,-7.172519033059698
