,x,y,z
pair 1,0.0,-3.552713678800501e-15,-2.6645352591003757e-15
pair 2,3.552713678800501e-15,-8.881784197001252e-15,-3.552713678800501e-15
pair 3,-3.552713678800501e-15,0.0,-2.6645352591003757e-15
pair 4,8.881784197001252e-16,-6.217248937900877e-15,-2.6645352591003757e-15
