pair_id,left_dip_id_sorted,right_dip_id_sorted,left_center_x1_GHz,right_center_x1_GHz,left_center_x1_err_MHz,right_center_x1_err_MHz,pair_center_GHz,pair_center_minus_D_eff_MHz,splitting_GHz,splitting_MHz,zeeman_half_MHz,left_contrast,right_contrast,D_eff_GHz,variation,lab_axis,run_name,offset_mm
1,1,8,2.807769792246001,2.933507887648723,0.080459817277459,0.0986314368792433,2.870638839947362,-0.9369951393600752,0.1257380954027218,125.73809540272184,62.86904770136093,0.0116288654703858,0.0093663081436544,2.871575835086722,Variation Along X,x,0cm-0.4mm,-0.4
2,2,7,2.818927689148876,2.923712783518038,0.0332218845579826,0.043665067929984,2.871320236333457,-0.2555987532648629,0.1047850943691619,104.78509436916195,52.39254718458098,0.0282780199375424,0.0216488953982521,2.871575835086722,Variation Along X,x,0cm-0.4mm,-0.4
3,3,6,2.835219820107587,2.9087466246514406,0.0694843137739209,0.072434680901449,2.871983222379514,0.4073872927921051,0.0735268045438535,73.52680454385352,36.76340227192676,0.0134475989010458,0.0129714282313043,2.871575835086722,Variation Along X,x,0cm-0.4mm,-0.4
4,4,5,2.8460937795570054,2.8986283038161043,0.0372572824015057,0.0404094841633324,2.872361041686555,0.7852065998328328,0.0525345242590988,52.53452425909888,26.26726212954944,0.0250948111951598,0.0232712626872551,2.871575835086722,Variation Along X,x,0cm-0.4mm,-0.4
1,1,8,2.808500211944492,2.9327116200287637,0.0941344282811624,0.0989653154536192,2.8706059159866277,-0.9383571892191966,0.1242114080842715,124.21140808427155,62.10570404213578,0.0113041411859816,0.0109567701491466,2.8715442731758465,Variation Along X,x,0cm-0.3mm,-0.3
2,2,7,2.819427105817509,2.9231686338118767,0.036790164887484,0.0549415351177979,2.8712978698146934,-0.2464033611531135,0.1037415279943672,103.7415279943672,51.8707639971836,0.0293764831504785,0.0197234244791088,2.8715442731758465,Variation Along X,x,0cm-0.3mm,-0.3
3,3,6,2.8350738731190126,2.908739959809738,0.0693986473999907,0.0755593590360074,2.871906916464376,0.3626432885290853,0.0736660866907255,73.66608669072549,36.833043345362746,0.0154524237405436,0.0143289591188601,2.8715442731758465,Variation Along X,x,0cm-0.3mm,-0.3
4,4,5,2.8456665621662807,2.8990662187091027,0.0426611367460202,0.0498678204903666,2.8723663904376915,0.8221172618450012,0.053399656542822,53.399656542822086,26.699828271411043,0.0254726646712127,0.0215662507014458,2.8715442731758465,Variation Along X,x,0cm-0.3mm,-0.3
1,1,8,2.809268793565025,2.932083732867021,0.0774855773110487,0.0897960545894891,2.8706762632160228,-0.863177229899037,0.1228149393019957,122.81493930199572,61.40746965099786,0.0131634409243917,0.0111904943734507,2.871539440445922,Variation Along X,x,0cm-0.2mm,-0.2
2,2,7,2.819939146946853,2.922639435939584,0.0352464104996551,0.0501733315123398,2.8712892914432184,-0.2501490027033703,0.1027002889927306,102.70028899273063,51.35014449636533,0.0291050701175058,0.0202196240430854,2.871539440445922,Variation Along X,x,0cm-0.2mm,-0.2
3,3,6,2.834803576171867,2.9090241050653893,0.0686369200923685,0.0843088145566571,2.871913840618628,0.3744001727064017,0.0742205288935222,74.22052889352227,37.110264446761136,0.0149080903255805,0.0119296231900458,2.871539440445922,Variation Along X,x,0cm-0.2mm,-0.2
4,4,5,2.8452493086049646,2.8993074244066714,0.0398278129179185,0.0466319149150354,2.8722783665058182,0.7389260598964498,0.0540581158017068,54.05811580170683,27.029057900853417,0.0257725229879587,0.0219583273230563,2.871539440445922,Variation Along X,x,0cm-0.2mm,-0.2
1,1,8,2.809967306156772,2.931333536514859,0.0598731967310462,0.0721143212251979,2.8706504213358155,-0.838336210025048,0.1213662303580878,121.3662303580878,60.6831151790439,0.0130501415121296,0.0109219631232774,2.8714887575458405,Variation Along X,x,0cm-0.1mm,-0.1
2,2,7,2.8204116833971917,2.922067015385335,0.0276791708574448,0.0396619485722547,2.871239349391263,-0.2494081545774129,0.1016553319881437,101.6553319881437,50.82766599407185,0.0285939234702194,0.0198567325503316,2.8714887575458405,Variation Along X,x,0cm-0.1mm,-0.1
3,3,6,2.834684609860815,2.908968411569067,0.0552765182097237,0.0620065146472085,2.871826510714941,0.337753169100452,0.0742838017082521,74.2838017082521,37.14190085412605,0.0142321023879143,0.0125872606554908,2.8714887575458405,Variation Along X,x,0cm-0.1mm,-0.1
4,4,5,2.844775145116831,2.899702352365852,0.0303706670028161,0.0344801864108018,2.872238748741341,0.7499911955006766,0.0549272072490212,54.92720724902122,27.46360362451061,0.0262620097723014,0.0229931655767628,2.8714887575458405,Variation Along X,x,0cm-0.1mm,-0.1
1,1,8,2.810708892569604,2.9305449588310166,0.0899872882232949,0.1067288220987256,2.8706269257003103,-0.8256032156821469,0.1198360662614126,119.83606626141264,59.91803313070632,0.0117761275463318,0.0098107888097167,2.8714525289159925,Variation Along X,x,0cm-0.0mm,-0.0
2,2,7,2.8208853631008446,2.92159434613265,0.0374736552986972,0.0506024190122298,2.8712398546167472,-0.2126742992452079,0.1007089830318053,100.7089830318053,50.35449151590265,0.0283988347087182,0.0208311504334048,2.8714525289159925,Variation Along X,x,0cm-0.0mm,-0.0
3,3,6,2.834466860439515,2.9091256598107607,0.078251586078479,0.0793275084373754,2.871796260125138,0.343731209145659,0.0746587993712455,74.65879937124554,37.32939968562277,0.0133982048611943,0.0132718203109214,2.8714525289159925,Variation Along X,x,0cm-0.0mm,-0.0
4,4,5,2.8443763128859003,2.8999178375576484,0.0416133696959936,0.0474211928049214,2.8721470752217746,0.6945463057821399,0.0555415246717481,55.54152467174811,27.770762335874053,0.0255417769567072,0.0222718713645982,2.8714525289159925,Variation Along X,x,0cm-0.0mm,-0.0
1,1,8,2.8110795202871643,2.9282493353723766,0.0938142304998361,0.1260773547208715,2.8696644278297705,-1.5226800601562118,0.1171698150852122,117.16981508521228,58.58490754260615,0.0140504820478834,0.0110192116823635,2.8711871078899267,Variation Along Y,y,0cm-0.4mm,-0.4
