rank,candidate_idx,perm,signs,alpha_deg,beta_deg,gamma_deg,chi2,chi2_data_only,rms_MHz_per_mm,surface_cosine_abs,success
14,113,"(1, 0, 3, 2)","(-1, -1, -1, 1)",3.601952567229876e-09,89.83846014164949,1.0056261750668155e-09,3.159349632719945e-09,6.670277217986856e-22,6.591895645102709e-15,0.9999960254876823,True
15,306,"(3, 0, 2, 1)","(-1, -1, 1, -1)",3.1031223863033324e-09,89.83846014131154,30.000000000842213,3.1593496591951446e-09,2.96482534050756e-22,3.3257310888414098e-15,0.9999960254876656,True
16,162,"(1, 3, 0, 2)","(-1, -1, 1, -1)",2.400870614775996e-09,89.83846014092617,30.00000000244582,3.159349689377666e-09,6.670326182948555e-22,4.9733365358798255e-15,0.9999960254876467,True
17,354,"(3, 2, 0, 1)","(-1, -1, 1, -1)",2.9219660563685222e-09,89.83846014086564,30.00000000279061,3.1593496941426755e-09,7.411608757047396e-23,2.592634238871867e-15,0.9999960254876437,True
18,116,"(1, 0, 3, 2)","(-1, 1, -1, -1)",4.306712050120244e-09,89.83846014025274,30.00000000307287,3.1593497419754292e-09,2.9646424572298567e-22,4.978290881988863e-15,0.9999960254876136,True
19,123,"(1, 0, 3, 2)","(1, -1, 1, 1)",4.306712050120244e-09,89.83846014025274,30.00000000307287,3.1593497419754292e-09,2.9646424572298567e-22,4.978290881988863e-15,0.9999960254876136,True
20,320,"(3, 1, 0, 2)","(-1, -1, -1, -1)",2.851497433597996e-09,89.83846014010192,30.000000002643002,3.159349753801796e-09,9.079785678737096e-22,5.4223153100566546e-15,0.9999960254876061,True
21,356,"(3, 2, 0, 1)","(-1, 1, -1, -1)",30.000000001962082,89.83846013999022,-3.5587120441343587e-09,3.159349762626152e-09,7.412124801961402e-23,3.506149232376469e-15,0.9999960254876006,True
22,363,"(3, 2, 0, 1)","(1, -1, 1, 1)",30.000000001962082,89.83846013999022,-3.5587120441343587e-09,3.159349762626152e-09,7.412124801961402e-23,3.506149232376469e-15,0.9999960254876006,True
23,200,"(2, 0, 1, 3)","(1, -1, -1, -1)",7.644781652944119e-10,89.83846013982388,4.907993220661928e-10,3.159349775513524e-09,2.6681621923540883e-21,5.4585651754179235e-15,0.9999960254875925,True
24,17,"(0, 1, 3, 2)","(-1, -1, -1, 1)",30.000000000382407,89.83846013962686,-5.233569524253614e-10,3.1593497910436546e-09,4.632125153838713e-22,3.882078078833519e-15,0.9999960254875827,True
25,15,"(0, 1, 2, 3)","(1, 1, 1, 1)",7.620335215388563e-10,89.8384601395262,9.949615501249189e-10,3.1593497988093775e-09,1.8544883681838263e-23,4.007069545401728e-15,0.9999960254875778,True
26,164,"(1, 3, 0, 2)","(-1, 1, -1, -1)",4.3363665216676547e-10,89.83846013937085,30.000000000161734,3.1593498109896228e-09,1.5008177157483176e-21,7.498184720263244e-15,0.9999960254875702,True
27,157,"(1, 2, 3, 0)","(1, 1, -1, 1)",6.828458997239694e-10,89.83846013933095,-2.630364567574681e-10,3.1593498141652643e-09,7.411466851826289e-23,4.4556704824371976e-15,0.9999960254875682,True
28,375,"(3, 2, 1, 0)","(-1, 1, 1, 1)",-1.114055121910349e-09,89.83846013933142,-5.837160021495789e-09,3.1593498141658574e-09,6.67111312164549e-22,1.0796026988962398e-14,0.9999960254875682,True
29,376,"(3, 2, 1, 0)","(1, -1, -1, -1)",-1.114055121910349e-09,89.83846013933142,-5.837160021495789e-09,3.1593498141658574e-09,6.67111312164549e-22,1.0796026988962398e-14,0.9999960254875682,True
30,30,"(0, 1, 3, 2)","(1, 1, 1, -1)",29.99999999972299,89.83846013931696,2.702635714746861e-09,3.1593498152253984e-09,1.1858262219399033e-21,4.48508116795402e-15,0.9999960254875675,True
31,52,"(0, 2, 3, 1)","(-1, 1, -1, -1)",1.5901941030751113e-09,89.8384601392811,-3.713801781952019e-09,3.1593498180494596e-09,1.185823561014053e-21,3.022852761682258e-15,0.9999960254875657,True
32,63,"(0, 2, 3, 1)","(1, 1, 1, 1)",9.507729337459747e-10,89.83846013908219,30.000000000922697,3.1593498335806834e-09,7.412898901316447e-23,2.5767381096281752e-15,0.999996025487556,True
