,disp_x,disp_y,disp_z
lab_x,-7.6110418873865875,-12.748886166177895,1.4837304024474962
lab_y,-12.748886166177895,12.06390789598575,-7.063498779857219
lab_z,1.4837304024474962,-7.063498779857219,-4.4528660085991625
