,dx,dy,dz
Bx,0.12845490060908435,-0.06545575644417216,-0.006872378271722812
By,-0.027207614015467736,-0.15531642170025428,-0.1425376723510469
Bz,0.2718556189790198,0.04973968121917103,0.0069851467844881665
