variation,lab_axis,run_name,offset_mm,pair_id,nv_axis,nu_left_GHz,nu_right_GHz,splitting_MHz,pair_center_minus_D_eff_MHz,D_eff_GHz,nu_left_MHz,nu_right_MHz,nu0_left_MHz,delta_nu_left_MHz
Variation Along X,x,0cm-0.4mm,-0.4,1,d3,2.807769792246001,2.933507887648723,125.73809540272184,-0.9369951393600752,2.871575835086722,2807.769792246001,2933.507887648723,2810.708892569604,-2.9391003236028155
Variation Along X,x,0cm-0.4mm,-0.4,2,d2,2.818927689148876,2.923712783518038,104.78509436916195,-0.2555987532648629,2.871575835086722,2818.927689148876,2923.712783518038,2820.8853631008446,-1.9576739519684452
Variation Along X,x,0cm-0.4mm,-0.4,3,d4,2.835219820107587,2.9087466246514406,73.52680454385352,0.4073872927921051,2.871575835086722,2835.219820107587,2908.7466246514405,2834.466860439515,0.7529596680719806
Variation Along X,x,0cm-0.4mm,-0.4,4,d1,2.8460937795570054,2.8986283038161043,52.53452425909888,0.7852065998328328,2.871575835086722,2846.0937795570053,2898.628303816104,2844.3763128859005,1.7174666711048303
Variation Along X,x,0cm-0.3mm,-0.3,1,d3,2.808500211944492,2.9327116200287637,124.21140808427155,-0.9383571892191966,2.8715442731758465,2808.500211944492,2932.7116200287637,2810.708892569604,-2.2086806251118105
Variation Along X,x,0cm-0.3mm,-0.3,2,d2,2.819427105817509,2.9231686338118767,103.7415279943672,-0.2464033611531135,2.8715442731758465,2819.427105817509,2923.1686338118766,2820.8853631008446,-1.4582572833355698
Variation Along X,x,0cm-0.3mm,-0.3,3,d4,2.8350738731190126,2.908739959809738,73.66608669072549,0.3626432885290853,2.8715442731758465,2835.0738731190127,2908.739959809738,2834.466860439515,0.6070126794975295
Variation Along X,x,0cm-0.3mm,-0.3,4,d1,2.8456665621662807,2.8990662187091027,53.399656542822086,0.8221172618450012,2.8715442731758465,2845.6665621662805,2899.066218709103,2844.3763128859005,1.290249280380067
Variation Along X,x,0cm-0.2mm,-0.2,1,d3,2.809268793565025,2.932083732867021,122.81493930199572,-0.863177229899037,2.871539440445922,2809.268793565025,2932.083732867021,2810.708892569604,-1.4400990045787694
Variation Along X,x,0cm-0.2mm,-0.2,2,d2,2.819939146946853,2.922639435939584,102.70028899273063,-0.2501490027033703,2.871539440445922,2819.9391469468533,2922.639435939584,2820.8853631008446,-0.9462161539913723
