nv_axis,meas_left_GHz,pred_left_GHz,meas_right_GHz,pred_right_GHz,left_resid_MHz,right_resid_MHz,n_dot_B_mT
d3,2.810708892569604,2.812377743201831,2.9305449588310166,2.931599289448834,1.6688506322268815,1.054330617817456,-2.1273353068299565
d2,2.8208853631008446,2.8230361739588523,2.92159434613265,2.9232547695056974,2.1508108580077234,1.6604233730475038,1.788276239674172
d4,2.834466860439515,2.8371228773721997,2.9091256598107607,2.911459130376093,2.6560169326845795,2.333470565332174,1.3263031309496187
d1,2.8443763128859003,2.847288369166785,2.8999178375576484,2.90263706927783,2.912056280884645,2.719231720181625,-0.9872440637938344
