,dia_x,dia_y,dia_z
lab_x,0.0024416707225584514,-0.49999999999856815,0.8660219617570415
lab_y,0.0014096992491048402,0.8660254037852654,0.49999801274264605
lab_z,-0.9999960254881565,1.4607569968708656e-13,0.002819398497964745
