Frequency	Pixel(95-95)
2720000000.000000	1.486538
2720500000.000000	1.486521
2721000000.000000	1.486048
2721500000.000000	1.486064
2722000000.000000	1.485674
2722500000.000000	1.485671
2723000000.000000	1.485013
2723500000.000000	1.485872
2724000000.000000	1.485948
2724500000.000000	1.486315
2725000000.000000	1.485737
2725500000.000000	1.485123
2726000000.000000	1.487183
2726500000.000000	1.485994
2727000000.000000	1.485607
2727500000.000000	1.485954
2728000000.000000	1.485491
2728500000.000000	1.485704
2729000000.000000	1.486182
2729500000.000000	1.485486
2730000000.000000	1.486250
2730500000.000000	1.486101
2731000000.000000	1.485581
2731500000.000000	1.485551
2732000000.000000	1.485539
2732500000.000000	1.485207
2733000000.000000	1.484432
2733500000.000000	1.485149
2734000000.000000	1.484650
2734500000.000000	1.485931
2735000000.000000	1.485643
2735500000.000000	1.484369
2736000000.000000	1.485673
2736500000.000000	1.485379
2737000000.000000	1.485916
2737500000.000000	1.485558
2738000000.000000	1.485710
2738500000.000000	1.483825
2739000000.000000	1.485112
2739500000.000000	1.485715
2740000000.000000	1.485307
2740500000.000000	1.485830
2741000000.000000	1.485430
2741500000.000000	1.486874
2742000000.000000	1.486473
2742500000.000000	1.486020
2743000000.000000	1.486212
2743500000.000000	1.486726
2744000000.000000	1.485880
2744500000.000000	1.486200
2745000000.000000	1.486506
2745500000.000000	1.485198
2746000000.000000	1.485275
2746500000.000000	1.485719
2747000000.000000	1.485111
2747500000.000000	1.485199
2748000000.000000	1.485013
2748500000.000000	1.483956
2749000000.000000	1.483828
2749500000.000000	1.484639
2750000000.000000	1.484979
2750500000.000000	1.485360
2751000000.000000	1.484241
2751500000.000000	1.484350
2752000000.000000	1.485279
2752500000.000000	1.485932
2753000000.000000	1.486113
2753500000.000000	1.485694
2754000000.000000	1.485957
2754500000.000000	1.485025
2755000000.000000	1.485904
2755500000.000000	1.485818
2756000000.000000	1.485579
2756500000.000000	1.485803
2757000000.000000	1.486535
2757500000.000000	1.485824
2758000000.000000	1.485542
2758500000.000000	1.486756
2759000000.000000	1.485951
2759500000.000000	1.485412
2760000000.000000	1.485998
2760500000.000000	1.485674
2761000000.000000	1.485305
2761500000.000000	1.485338
2762000000.000000	1.486502
2762500000.000000	1.486422
2763000000.000000	1.485625
2763500000.000000	1.484207
2764000000.000000	1.483504
2764500000.000000	1.485205
2765000000.000000	1.486901
2765500000.000000	1.486926
2766000000.000000	1.486101
2766500000.000000	1.486294
2767000000.000000	1.486978
2767500000.000000	1.487477
2768000000.000000	1.485740
2768500000.000000	1.486092
2769000000.000000	1.486831
2769500000.000000	1.486628
2770000000.000000	1.485149
2770500000.000000	1.485949
2771000000.000000	1.486495
2771500000.000000	1.486627
2772000000.000000	1.485985
2772500000.000000	1.484682
2773000000.000000	1.484299
2773500000.000000	1.484606
2774000000.000000	1.485507
2774500000.000000	1.485332
2775000000.000000	1.485553
2775500000.000000	1.484915
2776000000.000000	1.484821
2776500000.000000	1.484915
2777000000.000000	1.485338
2777500000.000000	1.485699
2778000000.000000	1.485760
2778500000.000000	1.484937
2779000000.000000	1.485529
2779500000.000000	1.485028
2780000000.000000	1.485136
2780500000.000000	1.485351
2781000000.000000	1.483901
