Frequency	Pixel(95-95)
2720000000.000000	1.480125
2720500000.000000	1.480083
2721000000.000000	1.481460
2721500000.000000	1.480392
2722000000.000000	1.480788
2722500000.000000	1.480524
2723000000.000000	1.481512
2723500000.000000	1.481277
2724000000.000000	1.481597
2724500000.000000	1.480982
2725000000.000000	1.481834
2725500000.000000	1.481245
2726000000.000000	1.481111
2726500000.000000	1.480651
2727000000.000000	1.480930
2727500000.000000	1.479671
2728000000.000000	1.482311
2728500000.000000	1.480977
2729000000.000000	1.479674
2729500000.000000	1.480763
2730000000.000000	1.480761
2730500000.000000	1.480190
2731000000.000000	1.480604
2731500000.000000	1.481813
2732000000.000000	1.482764
2732500000.000000	1.481652
2733000000.000000	1.482335
2733500000.000000	1.481606
2734000000.000000	1.481578
2734500000.000000	1.480974
2735000000.000000	1.480399
2735500000.000000	1.480842
2736000000.000000	1.480865
2736500000.000000	1.481832
2737000000.000000	1.480910
2737500000.000000	1.481037
2738000000.000000	1.481350
2738500000.000000	1.479439
2739000000.000000	1.480184
2739500000.000000	1.480446
2740000000.000000	1.479902
2740500000.000000	1.480847
2741000000.000000	1.480854
2741500000.000000	1.479850
2742000000.000000	1.480142
2742500000.000000	1.480561
2743000000.000000	1.480350
2743500000.000000	1.480687
2744000000.000000	1.480430
2744500000.000000	1.480585
2745000000.000000	1.478769
2745500000.000000	1.479302
2746000000.000000	1.480322
2746500000.000000	1.479547
2747000000.000000	1.479659
2747500000.000000	1.481833
2748000000.000000	1.480728
2748500000.000000	1.480017
2749000000.000000	1.480820
2749500000.000000	1.480295
2750000000.000000	1.479829
2750500000.000000	1.480500
2751000000.000000	1.481142
2751500000.000000	1.481408
2752000000.000000	1.480552
2752500000.000000	1.481152
2753000000.000000	1.481401
2753500000.000000	1.481025
2754000000.000000	1.479058
2754500000.000000	1.480786
2755000000.000000	1.480674
2755500000.000000	1.480857
2756000000.000000	1.480957
2756500000.000000	1.480413
2757000000.000000	1.480584
2757500000.000000	1.480773
2758000000.000000	1.480191
2758500000.000000	1.480022
2759000000.000000	1.479823
2759500000.000000	1.479474
2760000000.000000	1.479604
2760500000.000000	1.479474
2761000000.000000	1.479102
2761500000.000000	1.479845
2762000000.000000	1.478350
2762500000.000000	1.480875
2763000000.000000	1.480928
2763500000.000000	1.481209
2764000000.000000	1.481750
2764500000.000000	1.481500
2765000000.000000	1.481606
2765500000.000000	1.481750
2766000000.000000	1.481637
2766500000.000000	1.480355
2767000000.000000	1.480221
2767500000.000000	1.479781
2768000000.000000	1.479970
2768500000.000000	1.480546
2769000000.000000	1.480292
2769500000.000000	1.480188
2770000000.000000	1.480900
2770500000.000000	1.481961
2771000000.000000	1.482535
2771500000.000000	1.481451
2772000000.000000	1.480752
2772500000.000000	1.481622
2773000000.000000	1.481238
2773500000.000000	1.480565
2774000000.000000	1.480166
2774500000.000000	1.480522
2775000000.000000	1.480266
2775500000.000000	1.481924
2776000000.000000	1.480974
2776500000.000000	1.479984
2777000000.000000	1.479144
2777500000.000000	1.480164
2778000000.000000	1.479970
2778500000.000000	1.480476
2779000000.000000	1.480198
2779500000.000000	1.480853
2780000000.000000	1.482000
2780500000.000000	1.481273
2781000000.000000	1.481197
2781500000.000000	1.481872
2782000000.000000	1.481223
2782500000.000000	1.480214
2783000000.000000	1.481455
2783500000.000000	1.481575
2784000000.000000	1.481156
2784500000.000000	1.481364
2785000000.000000	1.481917
2785500000.000000	1.481608
2786000000.000000	1.481308
2786500000.000000	1.481586
2787000000.000000	1.482243
2787500000.000000	1.481304
2788000000.000000	1.481462
2788500000.000000	1.481492
2789000000.000000	1.480432
2789500000.000000	1.480213
2790000000.000000	1.480661
2790500000.000000	1.480802
2791000000.000000	1.481216
2791500000.000000	1.481550
2792000000.000000	1.480942
2792500000.000000	1.481292
2793000000.000000	1.481725
2793500000.000000	1.480762
2794000000.000000	1.481299
2794500000.000000	1.481995
2795000000.000000	1.481814
2795500000.000000	1.481600
2796000000.000000	1.480891
2796500000.000000	1.482390
2797000000.000000	1.482095
2797500000.000000	1.481280
2798000000.000000	1.481091
2798500000.000000	1.481131
2799000000.000000	1.481371
2799500000.000000	1.480437
2800000000.000000	1.480367
2800500000.000000	1.481667
2801000000.000000	1.481163
2801500000.000000	1.481453
2802000000.000000	1.481410
2802500000.000000	1.481353
2803000000.000000	1.480982
2803500000.000000	1.481200
2804000000.000000	1.480700
2804500000.000000	1.480823
2805000000.000000	1.481351
2805500000.000000	1.480669
2806000000.000000	1.479932
2806500000.000000	1.480624
2807000000.000000	1.479403
2807500000.000000	1.479409
2808000000.000000	1.476771
2808500000.000000	1.474794
2809000000.000000	1.475662
2809500000.000000	1.478133
2810000000.000000	1.478733
2810500000.000000	1.475545
2811000000.000000	1.474561
2811500000.000000	1.477340
2812000000.000000	1.476931
2812500000.000000	1.476643
2813000000.000000	1.475041
2813500000.000000	1.478533
2814000000.000000	1.478579
2814500000.000000	1.479094
2815000000.000000	1.479359
2815500000.000000	1.480640
2816000000.000000	1.480365
2816500000.000000	1.479368
2817000000.000000	1.477733
2817500000.000000	1.474288
2818000000.000000	1.466303
2818500000.000000	1.468092
2819000000.000000	1.472331
2819500000.000000	1.472449
2820000000.000000	1.468533
2820500000.000000	1.465614
2821000000.000000	1.468830
2821500000.000000	1.471160
2822000000.000000	1.469561
2822500000.000000	1.464412
2823000000.000000	1.468088
2823500000.000000	1.472128
2824000000.000000	1.474018
2824500000.000000	1.476533
2825000000.000000	1.477494
2825500000.000000	1.478203
2826000000.000000	1.479863
2826500000.000000	1.480246
2827000000.000000	1.480542
2827500000.000000	1.480350
2828000000.000000	1.480638
2828500000.000000	1.480520
2829000000.000000	1.481574
2829500000.000000	1.481378
2830000000.000000	1.481231
2830500000.000000	1.480818
2831000000.000000	1.480489
2831500000.000000	1.479946
2832000000.000000	1.477713
2832500000.000000	1.474455
2833000000.000000	1.475291
2833500000.000000	1.476915
2834000000.000000	1.476397
2834500000.000000	1.473045
2835000000.000000	1.473325
2835500000.000000	1.475773
2836000000.000000	1.476076
2836500000.000000	1.475019
2837000000.000000	1.473366
2837500000.000000	1.474200
2838000000.000000	1.476454
2838500000.000000	1.477044
2839000000.000000	1.477921
2839500000.000000	1.478332
2840000000.000000	1.479279
2840500000.000000	1.477788
2841000000.000000	1.476194
2841500000.000000	1.470616
2842000000.000000	1.467222
2842500000.000000	1.471112
2843000000.000000	1.474068
2843500000.000000	1.472115
2844000000.000000	1.465541
2844500000.000000	1.469188
2845000000.000000	1.472841
2845500000.000000	1.471632
2846000000.000000	1.466529
2846500000.000000	1.468528
2847000000.000000	1.473699
2847500000.000000	1.475705
2848000000.000000	1.476555
2848500000.000000	1.476781
2849000000.000000	1.475554
2849500000.000000	1.477819
2850000000.000000	1.477893
2850500000.000000	1.478472
2851000000.000000	1.478997
2851500000.000000	1.479028
2852000000.000000	1.479475
2852500000.000000	1.480220
2853000000.000000	1.480717
2853500000.000000	1.481813
2854000000.000000	1.481859
