Frequency	Pixel(95-95)
2720000000.000000	1.478516
2720500000.000000	1.479644
2721000000.000000	1.478999
2721500000.000000	1.478506
2722000000.000000	1.479222
2722500000.000000	1.477698
2723000000.000000	1.479088
2723500000.000000	1.478647
2724000000.000000	1.478779
2724500000.000000	1.478536
2725000000.000000	1.478650
2725500000.000000	1.479302
2726000000.000000	1.479359
2726500000.000000	1.479149
2727000000.000000	1.479731
2727500000.000000	1.478958
2728000000.000000	1.477767
2728500000.000000	1.477292
2729000000.000000	1.478593
2729500000.000000	1.477626
2730000000.000000	1.476951
2730500000.000000	1.477960
2731000000.000000	1.478720
2731500000.000000	1.478197
2732000000.000000	1.479432
2732500000.000000	1.479409
2733000000.000000	1.477912
2733500000.000000	1.479128
2734000000.000000	1.479809
2734500000.000000	1.479080
2735000000.000000	1.477926
2735500000.000000	1.478164
2736000000.000000	1.478639
2736500000.000000	1.478734
2737000000.000000	1.479425
2737500000.000000	1.479581
2738000000.000000	1.479687
2738500000.000000	1.479673
2739000000.000000	1.479087
2739500000.000000	1.478649
2740000000.000000	1.478782
2740500000.000000	1.478104
2741000000.000000	1.478697
2741500000.000000	1.477827
2742000000.000000	1.478143
2742500000.000000	1.478205
2743000000.000000	1.478215
2743500000.000000	1.477539
2744000000.000000	1.478656
2744500000.000000	1.477707
2745000000.000000	1.477679
2745500000.000000	1.478954
2746000000.000000	1.479369
2746500000.000000	1.479277
2747000000.000000	1.479465
2747500000.000000	1.479486
2748000000.000000	1.479606
2748500000.000000	1.479461
2749000000.000000	1.479276
2749500000.000000	1.478227
2750000000.000000	1.478412
2750500000.000000	1.477620
2751000000.000000	1.477208
2751500000.000000	1.478446
2752000000.000000	1.478104
2752500000.000000	1.479103
2753000000.000000	1.478958
2753500000.000000	1.478708
2754000000.000000	1.478516
2754500000.000000	1.478180
2755000000.000000	1.478760
2755500000.000000	1.477776
2756000000.000000	1.477892
2756500000.000000	1.478554
2757000000.000000	1.479009
2757500000.000000	1.479171
2758000000.000000	1.478978
2758500000.000000	1.478830
2759000000.000000	1.477738
2759500000.000000	1.478196
2760000000.000000	1.479149
2760500000.000000	1.479244
2761000000.000000	1.478719
2761500000.000000	1.478683
2762000000.000000	1.480570
2762500000.000000	1.479891
2763000000.000000	1.479208
2763500000.000000	1.478053
2764000000.000000	1.478741
2764500000.000000	1.478126
2765000000.000000	1.478361
2765500000.000000	1.479128
2766000000.000000	1.478825
2766500000.000000	1.478957
2767000000.000000	1.478485
2767500000.000000	1.479034
2768000000.000000	1.478900
2768500000.000000	1.478655
2769000000.000000	1.478854
2769500000.000000	1.477864
2770000000.000000	1.479536
2770500000.000000	1.480109
2771000000.000000	1.478812
2771500000.000000	1.480275
2772000000.000000	1.479097
2772500000.000000	1.479986
2773000000.000000	1.479403
2773500000.000000	1.480286
2774000000.000000	1.480013
2774500000.000000	1.479098
2775000000.000000	1.479574
2775500000.000000	1.479512
2776000000.000000	1.479859
2776500000.000000	1.478386
2777000000.000000	1.478573
2777500000.000000	1.478702
2778000000.000000	1.479402
2778500000.000000	1.479540
2779000000.000000	1.479791
2779500000.000000	1.480260
2780000000.000000	1.479923
2780500000.000000	1.479478
2781000000.000000	1.479612
2781500000.000000	1.478772
2782000000.000000	1.478223
2782500000.000000	1.478587
2783000000.000000	1.478767
2783500000.000000	1.478929
2784000000.000000	1.478872
2784500000.000000	1.479552
2785000000.000000	1.479327
2785500000.000000	1.479261
2786000000.000000	1.479125
2786500000.000000	1.479464
2787000000.000000	1.479013
2787500000.000000	1.479320
2788000000.000000	1.478587
2788500000.000000	1.477254
2789000000.000000	1.479126
2789500000.000000	1.479605
2790000000.000000	1.478753
2790500000.000000	1.478592
2791000000.000000	1.478825
2791500000.000000	1.478710
2792000000.000000	1.478681
2792500000.000000	1.479641
2793000000.000000	1.479271
2793500000.000000	1.478818
2794000000.000000	1.478767
2794500000.000000	1.478970
2795000000.000000	1.478166
2795500000.000000	1.478890
2796000000.000000	1.477492
2796500000.000000	1.478609
2797000000.000000	1.479018
2797500000.000000	1.478501
2798000000.000000	1.478806
2798500000.000000	1.478963
2799000000.000000	1.479034
2799500000.000000	1.479979
2800000000.000000	1.478628
2800500000.000000	1.479694
2801000000.000000	1.479790
2801500000.000000	1.478308
2802000000.000000	1.479784
2802500000.000000	1.479757
2803000000.000000	1.478917
2803500000.000000	1.479371
2804000000.000000	1.478310
2804500000.000000	1.477486
2805000000.000000	1.478610
2805500000.000000	1.478647
2806000000.000000	1.479155
2806500000.000000	1.478000
2807000000.000000	1.477973
2807500000.000000	1.477533
2808000000.000000	1.477281
2808500000.000000	1.474105
2809000000.000000	1.472598
2809500000.000000	1.474327
2810000000.000000	1.475668
2810500000.000000	1.473415
2811000000.000000	1.470244
2811500000.000000	1.473674
2812000000.000000	1.474020
2812500000.000000	1.473359
2813000000.000000	1.468998
2813500000.000000	1.472554
2814000000.000000	1.474000
2814500000.000000	1.475637
2815000000.000000	1.474935
2815500000.000000	1.474716
2816000000.000000	1.473192
2816500000.000000	1.471156
2817000000.000000	1.465232
2817500000.000000	1.464029
2818000000.000000	1.468729
2818500000.000000	1.469668
2819000000.000000	1.466723
2819500000.000000	1.461153
2820000000.000000	1.466246
2820500000.000000	1.469049
2821000000.000000	1.467450
2821500000.000000	1.461648
2822000000.000000	1.464523
2822500000.000000	1.470198
2823000000.000000	1.471953
2823500000.000000	1.474875
2824000000.000000	1.476257
2824500000.000000	1.475819
2825000000.000000	1.476529
2825500000.000000	1.477749
2826000000.000000	1.477665
2826500000.000000	1.478277
