,x0_MHz,x1_MHz,x2_MHz,gamma_MHz,A
Pair1_left,2842.1441178217547,2842.1435861328764,2899.2999444661127,12.587730829847063,0.2865560549134926
Pair1_right,2927.1963866982696,2927.2047816461304,2902.6940156047326,12.923716561002543,0.5095830602323693
Pair2_left,2804.970472960645,2819.1480846840186,2842.5877432644834,9.396298569494876,0.6220433318681947
Pair2_right,2903.6200095792874,2903.619719329433,2903.6198505439384,16.25654213947533,0.18515392891637913
Pair3_left,2842.615033322746,2820.329052991566,2816.396879269937,10.829499152861908,0.4070595017300134
Pair3_right,2926.0159885488692,2906.594722644732,2900.4891033909767,9.570069212964798,0.38443106761533113
Pair4_left,2816.3709388573866,2820.10806658398,2842.707415178653,11.749766833156281,0.39046172857524547
Pair4_right,2900.68655800107,2906.252494325703,2926.7295730493015,10.84939186653506,0.3559961738491478
