,x0_MHz,x1_MHz,x2_MHz,gamma_MHz,A
Pair1_left,2843.0289983844714,2843.0289895337633,2843.029452543981,15.559285372847626,0.1929679411295047
Pair1_right,2847.396214609421,2901.326179877089,2901.3261069784353,10.308426684148564,0.28807395115050116
Pair2_left,2820.82617722733,2844.131972443343,2820.824827870161,8.907092629475784,0.4338951797503886
Pair2_right,2900.547316974781,2909.5433680886913,2900.5467142361927,7.273198863764811,0.29271265768507904
Pair3_left,2844.087584574957,2820.519404094906,2820.519627227067,10.271119223449318,0.40938357462235664
Pair3_right,2901.3287401624757,2923.1301636634494,2976.464074743624,9.646499980587901,0.5332182560678652
Pair4_left,2835.182264818938,2820.34343490104,2845.03993855471,6.709590583910337,0.591756940580725
Pair4_right,2899.952350553869,2908.291218172085,2923.5688316408327,7.41480988850165,0.44474184594429783
