,x0_MHz,x1_MHz,x2_MHz,gamma_MHz,A
Pair1_left,2844.791950131888,2872.627991162766,2887.280557478127,16.132070684464182,0.3356887417259087
Pair1_right,2908.438279609313,2908.437805915611,2908.4382694399305,78.71600590033539,0.209805778569564
Pair2_right,2904.812269646486,2904.8122363336474,2941.5261430372684,71.13082111196015,0.25306648382098096
Pair3_left,2862.0985418802916,2862.111947531152,2862.115232940433,148.74196636824917,0.08779682202841702
Pair3_right,2902.8483444433164,2902.848899262028,2934.6690657188847,60.99681403080502,0.2575272078240862
Pair4_left,2785.5350289906996,2983.3098084072312,2847.6978240370054,38.41921596827995,0.27630175252676775
Pair4_right,2905.5628337158546,2905.5613474661636,2905.5597459846067,124.69500675440949,0.20585789819679678
