,x0_MHz,x1_MHz,x2_MHz,gamma_MHz,A
Pair1_left,2843.741052298971,2822.4019454282825,2843.7408961419983,9.001180456710793,0.3226650562281581
Pair1_right,2837.663961308119,2844.2649622458534,2900.3592129927906,6.531491336483592,0.610230909049215
Pair2_left,2801.161797736931,2801.1627538027287,2801.162752792354,57.78563318183639,0.2527671148084574
Pair2_right,2911.4751743423167,2901.125744109429,2901.12594837628,8.429884718165802,0.3038504142215438
Pair3_left,2819.7873020196016,2820.5933733366955,2843.8701233056067,8.751585163266297,0.441734090014899
Pair3_right,2909.812969504244,2923.432871127992,2900.6220723553906,6.596393768591166,0.509787873901015
Pair4_left,2820.1694922129504,2843.8568387360497,2820.169144510916,8.968709823466863,0.43583263027608204
Pair4_right,2902.257763053264,2902.263285101823,2924.9905508398333,15.57667573623519,0.2798085463779442
