,x0_MHz,x1_MHz,x2_MHz,gamma_MHz,A
Pair1_left,2843.2917016433676,2843.2915458682087,2900.7658416388235,8.043750713362565,0.3345557586225833
Pair1_right,2902.4468733683266,2902.4468725785828,2902.44687321762,9.099591064189136,0.19216621950070312
Pair2_left,2842.350912602572,2844.7789094239474,2832.342936254423,5.752184304007321,0.38100995199456794
Pair2_right,2904.998096147738,2904.996546676863,2904.9955943970003,21.558800916001868,0.14389949187416815
Pair3_left,2819.2790991244487,2843.2420332023366,2795.306576067035,7.5763387171477605,0.7099798789826397
Pair3_right,2912.32124772893,2901.892929604296,2925.1573671803285,6.2601294037123525,0.4928948516190835
Pair4_left,2819.0354661712577,2819.036349860065,2843.218954498699,9.453471515125292,0.41134389257358134
Pair4_right,2912.362838518194,2901.8420252811757,2925.4618285012075,6.855186348325289,0.4709248408197757
